"Symbol","Control1","Control2","Control3","Aldo1","Aldo2","Aldo3"
"RRAS2",1.78171730019048,1.63377570014447,1.84669780010953,1.90826130013615,1.83102419985065,1.64283470022262
"RRBP1",4.29289800000192,4.52851200025705,4.25838849963658,4.3780145999547,4.12756630014593,4.37892799986063
"RREB1",-0.753084200202671,-0.894758199514012,-0.821194650492861,-0.767751699303262,-0.750994700976372,-0.771832469376433
"RRH",-2.25390529782143,-2.13125509824142,-2.2641687014392,-2.05256080268866,-1.33094979950617,-1.27044959963545
"RRM1",3.60931679992643,3.2956579999864,3.17663100007431,3.4153232995131,2.90866949999092,3.03280829995751
"RRM2",0.741356850145597,0.264955044957857,0.0997886701864186,0.528272155325217,-0.0606637049564632,0.129573820162223
"RRM2B",0.113552089946247,0.105537414974922,0.183727260085569,-0.0816211698805344,0.377521500442276,0.188709259962138
"RRN3",-1.6952932675109,-1.61961618302124,-1.65174515342568,-1.6161003250979,-1.58887637910315,-1.5545420559695
"RRN3P3",0.738033299692747,0.260625840422892,0.218778610291045,0.529640200367788,0.0526447302845727,0.238781929963097
"RRNAD1",0.638889300191457,0.859026899747455,0.746102330029384,0.77768325985919,0.65987679984055,0.713991170259788
"RRP1",0.619084850367343,0.602420749599717,0.592565549516398,0.504600049310125,0.347938549467355,0.516795150581201
"RRP12",0.0480270397088422,0.499413500185995,0.399617199683461,-0.104771614217235,0.071034429685142,0.290017130078406
"RRP15",0.713227300095271,0.746812799994151,0.675154700221202,0.616434100404053,0.524008749987085,0.537064550264406
"RRP1B",-0.881529330485397,-0.902940749335397,-0.815576049766397,-0.853080750778476,-0.739274000274276,-0.840866069272198
"RRP36",3.63375189942,3.49985310022155,3.48149969962431,3.54781819993043,3.37409399994446,3.24224570001701
"RRP7A",0.0309843995120401,-0.0545763993495552,-0.0420928000413923,-0.127793299325882,-0.152790550964274,-0.123178950708211
"RRP7B",0.439580919960999,0.419268129711858,0.31060408996042,0.338606839962431,0.6390795632283,0.742222296241404
"RRP8",3.11057100004138,3.19637970005819,3.31347000001011,2.79552650004151,3.09327799994244,2.85328870009013
"RRP9",0.94763470027822,1.11318110013215,1.33983140004926,0.920468330238727,0.976338400264364,0.88967895989229
