"","ZR751_EV","ZR751_EVA","ZR751_OV","ZR751_OVA"
"ALKAL2",3,4,1,4
"TMEM18",1366,1726,1699,1342
"SNTG2",0,3,0,5
"TPO",74,106,111,84
"PXDN",9666,12400,8754,8326
"MYT1L",1,0,2,0
"LINC01250",0,2,3,2
"EIPR1",2087,2932,2332,2034
"TRAPPC12",349,440,516,195
"ADI1",506,614,530,527
"RNASEH1",1214,1561,1197,1046
"RNASEH1-DT",132,185,159,97
"RPS7",16642,25755,19714,18269
"COLEC11",17,7,16,8
"ALLC",0,4,2,1
"SOX11",21,38,33,29
"CMPK2",408,195,296,224
"RSAD2",347,159,239,238
"GRASLND",0,0,3,0
"RNF144A",244,265,239,199
"LINC00299",0,0,1,0
"LINC01814",32,30,24,28
"ID2",2325,2474,2371,1757
"KIDINS220",3745,4980,3367,3532
"MBOAT2",14542,19298,12436,14614
"ASAP2",6355,7647,5667,5863
"ITGB1BP1",2802,3994,3165,2807
"CPSF3",3383,4500,3587,3409
"IAH1",1305,1904,1383,1389
"ADAM17",1596,1995,1528,1591
"YWHAQ",10059,12912,9655,9258
"TAF1B",625,759,510,536
"GRHL1",3500,4334,3031,3224
"KLF11",1285,1745,1335,1193
"CYS1",444,560,476,388
"RRM2",16495,21370,17238,15760
"MIR4261",2,4,1,1
"HPCAL1",2968,4151,3697,2680
"ODC1",985,1387,937,1079
"SNORA80B",6,0,2,0
"NOL10",2556,3582,2678,2572
"ATP6V1C2",188,260,213,217
"PDIA6",7658,10621,7276,7058
"LINC01954",2,2,4,6
"KCNF1",1497,1551,2216,1289
"C2orf50",99,95,127,86
"SLC66A3",7907,8719,8551,8200
"ROCK2",5649,6701,5023,5077
"LINC00570",5,2,6,3
"E2F6",1100,1296,1018,1041
"GREB1",4098,6921,5529,5982
"MIR4429",1,0,0,1
"NTSR2",1,0,0,1
"LPIN1",1408,2166,1372,1407
"MIR3681HG",1,3,0,1
"TRIB2",2748,3254,2567,2526
"MIR3125",1,5,5,1
"LRATD1",29,23,21,20
"NBAS",2269,2719,1927,1963
"DDX1",6745,9038,6713,6477
"MYCNUT",1,0,1,1
"MYCNOS",0,1,0,0
"MYCN",24,18,21,16
"CYRIA",657,826,524,593
"VSNL1",4,1,1,6
"SMC6",2328,3047,2504,2502
"GEN1",3214,3644,3040,3681
"MSGN1",0,2,1,0
"KCNS3",791,980,847,798
"RDH14",13,21,19,6
"NT5C1B",4,2,6,0
"OSR1",4,10,5,2
"LINC00954",3,4,3,3
"TTC32",68,101,72,83
"WDR35",1044,1270,1021,1098
"WDR35-DT",32,44,42,33
"MATN3",257,288,229,240
"LAPTM4A",11259,15801,11388,11604
"SDC1",10058,13480,10749,8860
"PUM2",8157,9435,7523,8064
"RHOB",20386,26082,23052,19165
"HS1BP3-IT1",1,1,0,1
"HS1BP3",2093,2966,2165,2016
"GDF7",0,1,0,0
"LDAH",438,608,449,469
"APOB",0,1,0,0
"TDRD15",0,0,2,0
"KLHL29",112,127,142,137
"ATAD2B",1530,1662,1430,1488
"UBXN2A",481,587,439,438
"MFSD2B",5,9,4,7
"WDCP",400,565,398,443
"FKBP1B",10,26,15,22
"SF3B6",1640,2368,2084,1697
"FAM228B",117,206,148,161
"TP53I3",881,1144,855,855
"PFN4",65,77,58,53
"FAM228A",2,2,1,0
"ITSN2",1800,2423,1681,1724
"NCOA1",2394,3036,1979,2233
"PTRHD1",531,646,705,413
"CENPO",1569,1963,1452,1412
"ADCY3",2736,3294,2364,2236
"DNAJC27",470,630,453,545
"DNAJC27-AS1",107,133,109,96
"EFR3B",2445,2725,2081,1912
"POMC",0,2,1,1
"DNMT3A",3219,3690,3256,2912
"MIR1301",0,0,1,2
"DTNB",847,1079,991,822
"ASXL2",2299,2719,1982,2010
"KIF3C",588,845,581,527
"RAB10",8834,11375,8151,8511
"GAREM2",110,123,127,98
"HADHA",11860,15815,11605,11117
"HADHB",8497,11949,8377,8090
"ADGRF3",46,40,49,42
"SELENOI",4040,4884,3451,3762
"DRC1",7,8,10,12
"OTOF",11,10,6,11
"FAM166C",1,0,5,0
"CIB4",2,2,0,1
"KCNK3",1,2,2,0
"SLC35F6",5097,6519,4799,4471
"CENPA",1167,1644,1309,1187
"DPYSL5",2062,2624,2269,1828
"MAPRE3",1732,2451,1845,1765
"TMEM214",7919,9835,7555,7549
"AGBL5-AS1",2,0,1,0
"AGBL5",1760,2207,1638,1524
"OST4",2830,4050,3439,2933
"EMILIN1",82,99,113,62
"KHK",362,510,390,338
"CGREF1",470,653,503,451
"ABHD1",114,143,114,91
"PREB",5557,7484,5129,5157
"SLC5A6",12639,16931,11797,12610
"ATRAID",5810,7871,6883,5962
"CAD",4852,5739,4704,4184
"SLC30A3",109,122,110,101
"DNAJC5G",1,1,7,2
"TRIM54",1,3,3,1
"UCN",5,11,10,6
"MPV17",2052,2956,2353,2246
"GTF3C2",5206,6666,5025,4902
"GTF3C2-AS1",3,8,8,12
"EIF2B4",2972,4160,3136,3115
"SNX17",7773,11235,8199,7600
"ZNF513",667,791,665,555
"PPM1G",19206,26514,20008,19803
"NRBP1",10283,14310,10494,10749
"KRTCAP3",1461,2080,1584,1443
"IFT172",2088,2689,2222,2132
"FNDC4",14,28,26,20
"C2orf16",1,1,4,1
"ZNF512",2,3,1,0
"CCDC121",275,352,252,312
"GPN1",2254,3095,2244,2305
"SUPT7L",2724,3518,2647,2789
"SLC4A1AP",2318,3153,2388,2201
"MRPL33",1037,1609,1100,1066
"RBKS",258,382,331,303
"BABAM2",2176,3258,2157,2170
"MIR4263",18,23,22,15
"FOSL2-AS1",20,36,41,28
"FOSL2",4753,6285,4381,4365
"PLB1",17,32,5,21
"PPP1CB",7307,8886,6328,7361
"SPDYA",23,19,25,29
"TRMT61B",455,503,445,404
"WDR43",3225,3992,3026,3041
"SNORD92",0,2,0,0
"SNORD53",1,2,6,4
"TOGARAM2",3,6,6,2
"CLIP4",720,970,584,729
"ALK",3,4,1,2
"YPEL5",3352,4588,3347,3311
"LBH",27,25,13,15
"LCLAT1",1154,1372,1009,1047
"CAPN13",1159,1709,935,1300
"GALNT14",1354,1849,1192,1200
"CAPN14",46,53,40,46
"EHD3",504,626,452,469
"XDH",80,88,76,75
"SRD5A2",7,11,8,8
"MEMO1",1124,1570,1089,1126
"DPY30",1686,2393,2095,1806
"SPAST",993,1254,901,939
"SLC30A6",1732,2206,1604,1691
"NLRC4",50,73,54,62
"YIPF4",1556,2066,1410,1482
"BIRC6",10936,12380,9382,9860
"MIR558",2,1,0,0
"BIRC6-AS2",19,26,24,26
"TTC27",795,999,776,681
"LTBP1",6307,7337,5707,5101
"RASGRP3",113,88,69,72
"FAM98A",4158,5580,3337,3984
"CRIM1",2257,2939,1851,2060
"FEZ2",1081,1337,989,1038
"VIT",29,44,20,30
"STRN",3221,3984,2812,3125
"HEATR5B",3384,4428,3159,3388
"GPATCH11",769,1090,694,749
"EIF2AK2",3518,2519,3156,2882
"SULT6B1",0,0,1,0
"CEBPZOS",1008,1489,1145,1238
"CEBPZ",3407,4266,3125,3073
"NDUFAF7",830,1084,928,945
"PRKD3",1594,1653,1433,1419
"QPCT",390,507,360,361
"CDC42EP3",497,640,469,530
"RMDN2",78,70,49,64
"CYP1B1",17247,18846,12670,13530
"CYP1B1-AS1",66,73,67,65
"ATL2",2686,3486,2913,2968
"LINC02613",4,2,3,3
"HNRNPLL",1676,1948,1479,1542
"GALM",133,182,153,128
"SRSF7",7243,9221,7754,7440
"GEMIN6",843,1311,1072,1031
"DHX57",1754,2235,1759,1732
"MORN2",515,723,618,569
"ARHGEF33",4,4,4,4
"SOS1",2976,3547,2841,2905
"CDKL4",11,16,17,9
"MAP4K3",2127,2439,1687,1902
"TMEM178A",128,131,164,176
"THUMPD2",526,766,621,560
"SLC8A1",5,2,5,0
"LINC02898",1,0,0,0
"PKDCC",82,84,103,71
"EML4",3751,4563,3378,3435
"COX7A2L",2954,4240,3088,3060
"KCNG3",16,48,13,28
"MTA3",5387,6895,5714,5426
"OXER1",46,113,74,86
"HAAO",34,91,65,68
"LINC01819",0,1,1,1
"ZFP36L2",1368,1416,1342,1157
"LINC01126",15,12,7,18
"THADA",2302,2958,2228,2357
"PLEKHH2",327,276,325,261
"DYNC2LI1",916,1200,823,866
"ABCG5",22,22,23,18
"ABCG8",20,14,19,15
"LRPPRC",17383,22605,15217,16365
"PPM1B",2832,3766,2697,2736
"SLC3A1",9,16,15,11
"PREPL",2826,3493,2400,2634
"CAMKMT",511,678,529,492
"SIX2",9,5,5,5
"LINC01121",1,5,7,3
"SRBD1",732,911,631,650
"PRKCE",414,496,366,354
"EPAS1",4802,5705,4186,3489
"LINC02583",1,0,0,0
"TMEM247",0,0,1,0
"ATP6V1E2",248,323,213,257
"RHOQ",815,1070,756,905
"RHOQ-AS1",7,13,12,14
"PIGF",215,279,208,235
"CRIPT",463,708,549,565
"SOCS5",712,875,590,696
"LINC01118",9,13,18,5
"LINC01119",12,32,26,18
"MCFD2",3046,3901,2738,2712
"TTC7A",2536,3272,2431,2244
"STPG4",10,5,19,5
"CALM2",19254,27397,21710,21325
"EPCAM-DT",4,3,2,6
"BCYRN1",6,7,7,5
"EPCAM",18135,22440,19659,17999
"MIR559",8,9,9,12
"MSH2",4246,4685,4007,3618
"KCNK12",21,25,19,25
"MSH2-OT1",2,6,4,4
"MSH6",5988,7311,5741,5597
"FBXO11",3612,4488,3346,3418
"FOXN2",942,1123,812,956
"PPP1R21",1436,1754,1524,1420
"STON1-GTF2A1L",1,3,4,8
"STON1",98,139,115,93
"NRXN1",2,1,3,1
"ASB3",34,48,56,38
"CHAC2",104,164,134,120
"ERLEC1",4676,6321,4444,4437
"MIR3682",7,9,10,16
"GPR75",120,152,100,137
"PSME4",8215,11557,7107,8064
"ACYP2",269,340,391,258
"TSPYL6",3,1,2,0
"C2orf73",0,0,0,1
"SPTBN1",6040,7873,5518,5392
"EML6",109,138,96,131
"RTN4",5385,7362,5015,4822
"CLHC1",231,250,210,287
"RPS27A",20668,33807,23968,22579
"MTIF2",2446,3385,2483,2493
"PRORSD1P",0,1,1,0
"CCDC88A",55,87,52,74
"CFAP36",1590,2361,1917,1777
"PPP4R3B",4779,5792,4398,4887
"PNPT1",4432,4675,4230,4114
"EFEMP1",7703,9182,7418,7616
"CCDC85A",204,247,217,176
"VRK2",530,753,537,483
"FANCL",709,867,743,740
"BCL11A",18,28,20,22
"PAPOLG",776,928,686,704
"REL-DT",5,1,3,0
"REL",3652,3808,3011,3264
"PUS10",1862,2142,1940,1950
"PEX13",2168,2841,2149,2166
"SANBR",806,971,811,883
"C2orf74-DT",1,4,0,0
"C2orf74",6,7,11,19
"AHSA2P",3206,3757,3848,3390
"USP34",6570,7684,6215,6390
"SNORA70B",0,1,0,1
"XPO1",19823,22364,18578,20180
"FAM161A",227,282,300,248
"CCT4",10006,14130,10518,9962
"COMMD1",741,1106,791,780
"B3GNT2",1200,1770,1034,1242
"MIR5192",1,0,0,0
"TMEM17",130,229,129,160
"EHBP1",1767,2232,1597,1687
"EHBP1-AS1",54,60,42,54
"OTX1",225,303,239,203
"DBIL5P2",4,5,1,4
"WDPCP",315,368,277,258
"MDH1",7676,11096,8277,8203
"UGP2",5455,7278,4955,5375
"VPS54",2100,2553,1827,1965
"PELI1",167,261,213,180
"LGALSL",719,912,727,735
"AFTPH-DT",45,26,25,33
"AFTPH",4257,5327,3656,3933
"MIR4434",1,1,2,1
"LINC02579",6,16,4,3
"SERTAD2",810,990,818,781
"LINC01800",3,2,0,1
"LINC02245",1,1,1,0
"SLC1A4",3449,4763,3266,3278
"CEP68",999,1170,891,871
"RAB1A",8406,11696,8251,8536
"ACTR2",19894,25925,17037,19073
"SPRED2",1703,1932,1613,1549
"MEIS1",113,137,124,124
"MEIS1-AS2",1,0,0,1
"ETAA1",952,1152,951,908
"C1D",549,826,589,504
"DNAAF10",628,1020,773,688
"PNO1",1671,2252,1735,1535
"PPP3R1",3908,4859,3641,3877
"CNRIP1",0,3,1,0
"PLEK",2,2,0,1
"FBXO48",67,98,71,59
"APLF",35,75,31,25
"ANTXR1",124,118,115,122
"GFPT1",7199,9101,6275,6503
"NFU1",649,969,827,631
"AAK1",2674,3354,2374,2571
"ANXA4",4220,5902,4304,4310
"GMCL1",1367,1703,1341,1413
"SNRNP27",1088,1596,1270,1179
"MXD1",1591,1937,1526,1401
"ASPRV1",44,53,41,41
"PCBP1-AS1",176,200,179,168
"PCBP1",12815,16486,13379,11335
"LINC01816",11,11,16,9
"C2orf42",511,622,499,448
"TIA1",5075,5345,5345,5559
"PCYOX1",5946,7791,5213,5612
"SNRPG",1473,2221,1890,1593
"FAM136A",3594,4616,3846,3458
"TGFA",711,946,609,655
"ADD2",0,3,1,1
"CLEC4F",5,3,6,3
"CD207",7,12,10,9
"LINC01143",9,5,9,7
"VAX2",207,263,237,188
"ATP6V1B1",4885,6652,5555,5004
"ANKRD53",44,33,28,32
"TEX261",5093,6873,4385,4485
"NAGK",2430,3511,2486,2609
"MCEE",195,281,231,256
"MPHOSPH10",2287,3156,2568,2474
"PAIP2B",351,458,406,374
"ZNF638",8383,10035,8344,8261
"DYSF",15,28,28,9
"CYP26B1",50,53,71,69
"EXOC6B",1559,2005,1383,1420
"SPR",4475,6501,4415,4447
"EMX1",48,39,58,39
"SFXN5",1114,1279,1194,961
"RAB11FIP5",3633,4560,3345,3137
"NOTO",3,4,1,2
"SMYD5",2817,3442,2635,2574
"PRADC1",1488,2284,1520,1515
"CCT7",15457,22696,16107,15639
"FBXO41",4533,5470,4595,3983
"EGR4",15,32,30,14
"ALMS1",1657,1827,1556,1484
"NAT8",4,6,0,3
"ALMS1P1",8,3,6,7
"TPRKB",639,918,829,786
"DUSP11",719,975,710,687
"C2orf78",1,0,2,0
"STAMBP",4048,5386,3958,3935
"ACTG2",11,14,5,1
"DGUOK",1771,2419,2116,1744
"TET3",5007,5853,4381,4353
"BOLA3",1159,1536,1627,1070
"BOLA3-DT",43,27,33,39
"MOB1A",4150,4774,3700,4089
"MTHFD2",10972,15020,10931,10649
"SLC4A5",1569,1964,1778,1715
"DCTN1",9397,12234,8714,8301
"DCTN1-AS1",22,39,34,41
"C2orf81",755,968,942,610
"WDR54",1523,2096,1689,1529
"RTKN",3671,4943,4059,3637
"INO80B",18,32,16,20
"WBP1",145,163,153,137
"MOGS",6603,7875,6548,6134
"MRPL53",1626,2132,2451,1308
"CCDC142",936,1108,1000,847
"TTC31",3200,3829,3210,2891
"LBX2",108,127,191,74
"LBX2-AS1",230,293,286,243
"PCGF1",742,1034,879,812
"TLX2",27,41,36,11
"DQX1",62,75,63,49
"AUP1",11189,15167,12087,11840
"HTRA2",991,1313,1010,855
"LOXL3",120,149,159,123
"DOK1",175,246,186,198
"M1AP",7,5,9,8
"SEMA4F",1375,1713,1190,1207
"HK2",5964,7955,5280,5576
"POLE4",254,358,313,231
"TACR1",1,0,2,1
"EVA1A",9,8,10,10
"MRPL19",3549,4798,3562,3625
"GCFC2",925,1035,866,907
"LRRTM4",0,0,0,1
"CTNNA2",4,2,2,2
"LRRTM1",0,1,0,0
"SUCLG1",5985,8526,6668,6068
"DNAH6",30,53,39,29
"TRABD2A",29,50,25,35
"TMSB10",23216,33509,27345,25241
"KCMF1",4271,6071,4554,4352
"TCF7L1",359,390,431,333
"TGOLN2",11254,13670,9546,9707
"RETSAT",5642,7681,5502,5501
"ELMOD3",1614,2143,1776,1862
"CAPG",1172,1688,1293,1166
"SH2D6",26,26,20,30
"PARTICL",79,110,104,85
"MAT2A",12004,12753,11589,11234
"GGCX",3910,5107,3800,3907
"VAMP8",10367,16304,11607,10999
"VAMP5",725,1143,836,862
"RNF181",3647,5397,4348,4203
"TMEM150A",1660,2289,1766,1718
"USP39",4656,6213,4634,4504
"C2orf68",1630,1967,1957,1774
"SFTPB",11,6,8,10
"GNLY",2,3,5,2
"ATOH8",78,70,67,59
"ST3GAL5",720,1287,714,869
"POLR1A",3239,3740,2633,2595
"PTCD3",5288,6893,5426,5486
"SNORD94",25,41,29,34
"IMMT",8246,11509,8373,7842
"MRPL35",2327,3255,2493,2565
"REEP1",394,613,377,414
"KDM3A",3482,4011,3306,3223
"CHMP3",32,57,40,48
"RNF103-CHMP3",0,3,4,0
"RNF103",4454,5880,4223,4548
"RMND5A",5727,7225,5258,5404
"CD8A",100,139,126,106
"CD8B",1,0,0,2
"RGPD1",1,5,0,2
"PLGLB1",18,11,16,17
"CYTOR",492,710,512,527
"PLGLB2",0,4,3,2
"RGPD2",2,2,1,3
"KRCC1",1763,2235,1768,1790
"SMYD1",0,0,1,0
"THNSL2",1685,2021,1603,1596
"FOXI3",26,39,30,29
"TEX37",2,2,1,5
"EIF2AK3",1328,1803,1129,1257
"RPIA",902,1243,980,936
"LSP1P4",72,101,112,37
"AQP7B",2,0,2,2
"FAM95A",36,56,37,53
"TEKT4",5,1,4,5
"MAL",0,2,0,1
"MRPS5",2753,3786,3055,2963
"ZNF514",1486,1594,1656,1664
"ZNF2",406,499,423,404
"PROM2",24470,30822,22308,20653
"KCNIP3",192,229,217,179
"FAHD2A",1132,1419,1210,1069
"TRIM43B",0,0,1,3
"ANKRD36C",298,297,287,287
"GPAT2",29,54,59,34
"ADRA2B",55,76,68,66
"ASTL",26,24,37,27
"DUSP2",722,834,663,592
"STARD7",8934,11712,8469,8696
"TMEM127",10795,14496,9603,9653
"CIAO1",9938,12598,10238,9846
"SNRNP200",29874,36657,26672,26775
"ITPRIPL1",0,1,2,1
"NCAPH",2583,3313,2714,2475
"NEURL3",10,2,4,0
"ARID5A",779,678,918,508
"KANSL3",7659,9971,7699,7787
"FER1L5",40,90,72,50
"LMAN2L",2585,3591,2433,2574
"CNNM4",10991,14440,10335,10169
"MIR3127",5,4,5,6
"CNNM3",3143,3583,3109,2743
"ANKRD23",698,792,787,625
"ANKRD39",630,832,738,651
"SEMA4C",5905,6168,6413,4494
"FAM178B",49,61,62,34
"FAHD2B",438,607,477,430
"ANKRD36",368,375,363,356
"ANKRD36B",106,140,85,110
"COX5B",4542,6559,7882,5153
"ACTR1B",3797,4981,4206,3815
"C2orf92",111,117,135,129
"ZAP70",15,29,17,13
"TMEM131",4696,5689,4004,3963
"VWA3B",3,13,8,5
"CNGA3",7,26,9,21
"INPP4A",3103,3551,2800,2827
"COA5",858,1025,1104,917
"UNC50",1136,1481,1172,1152
"MGAT4A",3096,3443,2516,2702
"CRACDL",2002,2322,2169,1661
"TSGA10",269,308,238,250
"C2orf15",339,503,366,354
"LIPT1",145,161,155,145
"MITD1",449,611,686,566
"MRPL30",2027,3135,2153,2148
"LYG2",10,21,18,16
"LYG1",92,95,104,98
"TXNDC9",1330,1782,1085,1365
"EIF5B",8769,12444,9900,8682
"REV1",2532,2859,2435,2428
"AFF3",36,148,34,100
"LONRF2",1766,2444,1645,2009
"CHST10",190,275,205,189
"PDCL3",988,1442,1028,1003
"NPAS2",429,516,322,433
"RPL31",13202,19302,16479,14731
"TBC1D8",977,1364,983,1055
"TBC1D8-AS1",37,43,45,23
"CNOT11",5462,6880,5094,5198
"RNF149",2554,3100,2508,2636
"CREG2",8,12,5,7
"RFX8",0,1,0,2
"MAP4K4",2947,4135,2657,2887
"IL1R2",32,48,24,24
"IL1R1",7518,8602,6533,6557
"IL1RL2",24,27,16,16
"IL1RL1",4,1,4,1
"IL18R1",4,9,5,7
"SLC9A4",8,22,6,8
"SLC9A2",2478,3742,2087,2454
"MFSD9",1313,1613,1129,1092
"TMEM182",249,394,251,261
"LINC01159",2,4,0,6
"MRPS9",1121,1733,1460,1332
"MRPS9-AS1",13,11,13,15
"LINC01918",9,7,8,5
"GPR45",11,5,13,12
"TGFBRAP1",3067,3880,2779,2805
"C2orf49",1108,1335,1136,1079
"FHL2",219,344,194,246
"NCK2",1557,1902,1820,1316
"ECRG4",1,2,0,1
"UXS1",1366,1770,1325,1336
"RGPD3",21,20,31,27
"ST6GAL2",17,12,17,16
"RGPD4-AS1",0,0,1,0
"RGPD4",53,65,47,58
"SLC5A7",1,2,0,1
"SULT1C3",0,0,1,0
"SULT1C2",3,1,2,2
"SULT1C2P1",0,1,1,1
"SULT1C4",0,0,3,1
"GCC2",3567,4436,3305,3518
"LIMS1",1445,1693,1295,1323
"RANBP2",9245,10994,8145,8836
"CCDC138",170,218,166,164
"EDAR",1,5,3,2
"SH3RF3",3,2,1,0
"SEPTIN10",513,535,412,421
"SOWAHC",459,551,407,402
"RGPD5",15,32,159,14
"LIMS3",0,1,1,1
"LINC01123",14,25,19,24
"MALL",4,6,4,4
"NPHP1",166,198,204,178
"MTLN",622,770,1110,454
"LIMS4",3,2,5,4
"RGPD6",2,1,8,1
"BUB1",3593,4742,3440,3649
"ACOXL",78,103,105,50
"ACOXL-AS1",10,15,6,14
"BCL2L11",2364,2762,2245,1958
"MIR4435-2HG",259,364,276,265
"ANAPC1",1635,1956,1402,1485
"MERTK",14,11,8,7
"TMEM87B",6052,7818,5538,6338
"FBLN7",19,18,8,8
"ZC3H8",718,939,815,779
"ZC3H6",1102,1200,1043,1021
"RGPD8",89,91,69,85
"TTL",1918,2561,1919,1840
"POLR1B",1992,2206,1664,1695
"CHCHD5",1301,1667,1526,1151
"SLC20A1",7656,9710,7340,6787
"NT5DC4",41,44,29,33
"CKAP2L",2087,2538,2159,1933
"IL1A",5,7,5,7
"IL1B",3,1,2,0
"IL37",23,27,25,26
"IL36G",10,12,10,9
"IL36RN",4,7,2,0
"IL1RN",10,22,13,19
"PSD4",5704,7658,5422,5667
"PAX8",6,18,15,11
"PAX8-AS1",13,9,8,6
"ZNG1B",761,1002,786,690
"FOXD4L1",26,26,42,19
"MIR1302-3",1,0,1,0
"WASH2P",122,164,136,141
"RABL2B",659,787,731,677
"RABL2A",193,199,231,204
"SLC35F5",2329,2703,2012,2148
"MIR4782",1,1,5,2
"ACTR3",11118,15430,11402,11376
"LINC01191",7,12,5,8
"DPP10",531,715,535,520
"DPP10-AS1",86,120,107,88
"DDX18",4409,5403,4007,4175
"CCDC93",3483,4166,3232,3227
"INSIG2",2871,3335,2860,2715
"EN1",2,4,3,3
"MARCO",22,19,18,12
"C1QL2",1,0,2,2
"STEAP3",4028,4869,4216,3617
"STEAP3-AS1",30,26,18,31
"C2orf76",383,578,474,474
"DBI",8345,14215,10089,9486
"TMEM37",63,88,60,51
"SCTR",1,3,4,6
"CFAP221",62,131,66,75
"TMEM177",724,993,795,733
"PTPN4",933,1082,847,964
"EPB41L5",6949,8767,6423,6809
"TMEM185B",2692,3198,2543,2433
"RALB",3089,4209,3158,3059
"INHBB",10641,13937,12609,10708
"LINC01101",1,0,0,0
"GLI2",4,8,12,17
"TFCP2L1",173,290,177,216
"CLASP1",3964,4841,3859,3754
"RNU4ATAC",3,4,3,1
"NIFK-AS1",69,99,64,83
"NIFK",1351,1814,1454,1451
"TSN",5213,6754,4901,5041
"CNTNAP5",28,31,11,23
"BIN1",86,93,100,86
"CYP27C1",0,4,2,2
"ERCC3",4250,5517,4178,4116
"MAP3K2",4163,4865,3705,3881
"PROC",42,53,46,27
"IWS1",3978,5300,4250,4039
"MYO7B",0,3,1,0
"LIMS2",29,39,42,33
"GPR17",8,2,4,5
"SFT2D3",446,592,483,498
"WDR33",4011,5003,4020,3832
"POLR2D",2575,3336,2546,2383
"AMMECR1L",4699,5566,4349,4616
"SAP130",3445,4237,3287,3012
"UGGT1",7879,10502,6789,7198
"HS6ST1",3012,3464,3175,2396
"LINC01856",1,1,1,2
"RAB6C",50,52,37,29
"POTEF",5,8,5,7
"MED15P9",0,0,2,0
"CCDC74B",249,318,349,210
"SMPD4",9622,11388,9599,7795
"MZT2B",3861,4263,8067,2463
"TUBA3E",2,4,2,2
"CCDC115",1911,2699,2207,1891
"IMP4",3326,4521,3630,2951
"PTPN18",4676,5905,4867,4743
"POTEI",8,15,16,19
"POTEJ",3,9,7,4
"AMER3",0,0,0,1
"ARHGEF4",561,664,589,520
"FAM168B",9620,12414,8842,8713
"PLEKHB2",12995,17460,10920,11498
"POTEE",10,8,10,4
"RAB6D",172,195,139,140
"MZT2A",1709,1859,3202,1069
"TUBA3D",44,42,47,40
"MIR4784",16,15,22,9
"SMPD4BP",1965,2118,2304,1827
"CCDC74A",407,522,538,400
"LINC01087",307,243,287,280
"ANKRD30BL",0,0,1,0
"GPR39",228,279,224,168
"LYPD1",15,20,23,22
"NCKAP5",495,717,438,506
"NCKAP5-AS1",1,1,0,0
"NCKAP5-AS2",0,2,2,0
"MGAT5",4343,5335,3756,3586
"TMEM163",8,13,9,7
"ACMSD",5,2,2,6
"CCNT2",2634,3189,2783,2858
"MAP3K19",4,5,6,8
"RAB3GAP1",2782,3707,2692,2680
"ZRANB3",184,246,225,172
"R3HDM1",1958,2356,1790,1888
"UBXN4",5542,6982,5676,5770
"LCT",27,23,29,34
"LCT-AS1",1,0,0,0
"MCM6",4457,5563,4504,4166
"DARS1",2083,2539,2134,2033
"CXCR4",67,34,65,20
"THSD7B",13,34,18,22
"HNMT",141,184,132,137
"SPOPL",2310,2671,2025,2290
"NXPH2",0,0,0,1
"LRP1B",28,33,25,15
"KYNU",554,709,510,554
"ARHGAP15",22,20,16,15
"GTDC1",509,617,476,473
"ZEB2",0,0,4,0
"TEX41",1,2,1,0
"ACVR2A",291,389,289,336
"ORC4",1472,1808,1419,1513
"MBD5",489,550,457,468
"EPC2",628,693,511,536
"KIF5C",1787,2090,1541,1863
"LYPD6B",1216,1588,1325,1253
"LYPD6",689,899,731,725
"MMADHC",3138,4502,2938,3186
"RND3",454,741,422,469
"RBM43",213,211,162,170
"NMI",754,721,753,636
"RIF1",2467,2702,2228,2412
"NEB",132,150,125,135
"ARL5A",824,1069,723,799
"CACNB4",34,55,25,37
"STAM2",1319,1694,1306,1247
"FMNL2",141,185,124,176
"PRPF40A",5050,6343,4963,4757
"ARL6IP6",339,368,339,292
"RPRM",14,20,9,10
"GALNT13",1,4,1,2
"KCNJ3",14,23,11,19
"LINC01876",96,134,95,118
"NR4A2",444,934,400,330
"GPD2",2931,3666,2486,2693
"ERMN",2,0,1,0
"ACVR1C",31,38,28,35
"ACVR1",484,600,347,441
"UPP2",2,6,1,4
"CCDC148-AS1",2,0,1,4
"CCDC148",52,73,41,48
"PKP4",6556,8208,6349,6021
"DAPL1",0,2,3,4
"TANC1",2034,2625,2049,2025
"MIR6888",0,1,0,0
"WDSUB1",647,804,695,635
"BAZ2B",675,715,596,611
"MARCHF7",3022,3577,2593,2839
"LY75",5,3,4,2
"PLA2R1",423,500,397,396
"ITGB6",2101,2631,1535,2003
"RBMS1",840,1110,775,851
"TANK",1469,1847,1423,1438
"LINC01806",38,37,26,23
"PSMD14",4183,5872,4321,4362
"TBR1",3,6,1,0
"SLC4A10",34,42,50,33
"DPP4",0,3,2,1
"FAP",20,18,23,10
"IFIH1",3807,3191,3322,3404
"GCA",1679,2135,1732,1780
"KCNH7",8,10,4,9
"FIGN",58,57,48,49
"GRB14",78,85,78,90
"COBLL1",1369,1818,1369,1370
"SNORA70F",2,0,1,7
"SLC38A11",0,0,0,1
"SCN3A",6,0,5,3
"SCN2A",1,3,2,1
"CSRNP3",1,0,0,0
"GALNT3",2363,2993,2037,2230
"TTC21B",635,718,578,660
"SCN1A",2,0,0,0
"SCN1A-AS1",0,1,0,0
"SCN9A",0,2,3,4
"B3GALT1",4,3,4,3
"STK39",1736,2660,1603,1855
"CERS6",3250,4010,2463,2950
"MIR4774",1,2,1,0
"NOSTRIN",44,23,26,27
"SPC25",41,54,21,43
"ABCB11",0,1,0,0
"DHRS9",0,2,3,0
"LRP2",47,39,28,13
"BBS5",434,496,454,377
"KLHL41",26,34,40,43
"FASTKD1",815,1008,821,909
"PPIG",3089,3973,3419,2986
