"","ZR751_EV","ZR751_EVA","ZR751_OV","ZR751_OVA"
"MIR1290",2,0,2,2
"IFFO2",1557,2046,1391,1350
"UBR4",13818,17128,12092,12228
"EMC1",4762,6165,3896,4242
"MRTO4",2707,3924,2933,2770
"AKR7L",221,261,251,237
"AKR7A3",1076,1342,1076,796
"AKR7A2",2301,2921,2348,1904
"SLC66A1",1098,1429,1322,907
"CAPZB",10947,15104,11864,11203
"MICOS10",2074,2841,2398,2289
"NBL1",12,7,2,6
"HTR6",112,120,98,99
"TMCO4",2791,3643,3052,2573
"OTUD3",993,1182,1001,1034
"PLA2G2A",12,20,26,5
"PLA2G5",0,1,0,0
"PLA2G2F",21,30,22,26
"PLA2G2C",0,0,1,0
"UBXN10",36,43,24,28
"CAMK2N1",1657,1929,1787,1464
"MUL1",1908,2404,1513,1575
"CDA",3,2,2,4
"PINK1",664,965,658,539
"PINK1-AS",257,329,276,264
"DDOST",15262,20884,14485,13878
"KIF17",7,8,9,6
"SH2D5",8,9,20,1
"HP1BP3",9390,11637,9596,9418
"EIF4G3",4144,5314,3871,3933
"MIR1256",2,0,0,0
"ECE1",6777,7628,6876,5343
"ECE1-AS1",7,6,15,2
"NBPF3",482,619,497,465
"ALPL",6,7,14,2
"RAP1GAP",2581,3223,2568,2396
"USP48",4918,6258,5022,5034
"LDLRAD2",34,27,30,34
"HSPG2",2655,2644,2671,1821
"CELA3B",1,0,0,0
"CELA3A",1,0,1,4
"LINC01635",12,14,9,18
"LINC00339",504,752,649,633
"CDC42",10018,13799,9679,9925
"WNT4",235,274,248,210
"MIR4418",0,0,0,1
"ZBTB40",2875,3177,2710,2440
"EPHA8",14,9,10,13
"EPHB2",361,455,389,304
"TEX46",2,0,0,3
"KDM1A",4692,6209,4768,4561
"MIR3115",0,0,0,1
"LUZP1",2822,3404,2500,2525
"HTR1D",1217,1444,1134,1033
"HNRNPR",6595,8529,6504,6371
"ZNF436",1349,1688,1201,1349
"TCEA3",5717,7667,6495,5899
"ASAP3",3347,5894,3787,4787
"E2F2",2292,2736,2342,2142
"ID3",8547,11523,9898,7271
"RPL11",27149,41341,30918,30339
"ELOA",3485,4943,3197,3520
"ELOA-AS1",17,32,15,19
"PITHD1",1343,1899,1307,1376
"LYPLA2",5316,7102,5691,4813
"GALE",5467,7698,6065,5430
"HMGCL",1760,2257,1866,1601
"FUCA1",1658,2198,1794,1542
"CNR2",0,3,2,0
"PNRC2",2316,2721,2543,2465
"SRSF10",5425,6366,5420,5586
"MYOM3",3,2,0,3
"IL22RA1",23,19,17,17
"IFNLR1",175,253,204,198
"LINC02800",4,1,3,3
"GRHL3",1055,1210,963,926
"STPG1",424,573,445,439
"NIPAL3",4742,6961,4492,4346
"RCAN3AS",11,8,16,10
"RCAN3",1137,1404,1002,939
"NCMAP",37,32,49,23
"SRRM1",7146,8784,6776,6790
"CLIC4",1716,2389,1547,1735
"RUNX3",288,337,278,258
"SYF2",1444,1860,1518,1350
"RSRP1",1736,1601,2158,1982
"RHD",0,0,2,1
"TMEM50A",1287,1527,1609,1147
"RHCE",78,93,72,83
"MACO1",2009,2837,2027,2006
"LDLRAP1",4325,5660,4690,4115
"MAN1C1",448,635,405,375
"SELENON",7854,9961,7436,6979
"MTFR1L",2217,2961,2407,2336
"AUNIP",813,1025,870,801
"PAQR7",1304,1952,1252,1424
"STMN1",21527,30427,24725,23208
"PAFAH2",2785,4190,2643,2741
"EXTL1",150,145,184,90
"SLC30A2",104,129,94,107
"TRIM63",5,6,4,3
"PDIK1L",1593,1950,1396,1571
"FAM110D",5,4,3,7
"ZNF593",1458,1979,2179,1302
"CNKSR1",4415,5156,4211,4025
"CATSPER4",1,9,4,4
"ZPLD2P",0,0,2,0
"CEP85",3742,4918,3698,3567
"SH3BGRL3",9298,12417,10270,9208
"UBXN11",1136,1433,1355,1119
"CD52",3,0,1,2
"CRYBG2",524,657,490,561
"ZNF683",10,12,12,22
"LIN28A",2,1,3,1
"DHDDS",2061,2881,1839,2148
"HMGN2",5740,7274,7939,5440
"RPS6KA1",4919,6622,5022,4646
"ARID1A",7319,8317,6311,6160
"PIGV",1273,1578,1165,1230
"ZDHHC18",1794,2297,1911,1681
"SFN",2769,3802,3203,2632
"GPN2",777,1013,795,725
"GPATCH3",1066,1414,1039,1017
"NUDC",5954,8148,7185,5641
"NR0B2",17,21,7,20
"KDF1",1229,1679,1361,1134
"TRNP1",136,219,142,190
"TENT5B",882,1204,986,856
"SLC9A1",6199,7744,5404,5470
"WDTC1",7038,8841,6598,6465
"TMEM222",3080,3877,3304,2780
"SYTL1",2884,3394,4019,2137
"MAP3K6",3200,3933,3401,2692
"FCN3",5,14,12,3
"CD164L2",0,1,0,2
"GPR3",25,61,41,31
"WASF2",13896,18018,11932,12189
"AHDC1",3760,4375,4453,2669
"FGR",8,3,9,6
"IFI6",33013,11151,42361,29286
"FAM76A",579,716,595,568
"STX12",2704,3503,2471,2766
"PPP1R8",3473,4683,3422,3403
"SCARNA1",5,1,0,1
"THEMIS2",5,7,4,4
"RPA2",2717,3835,3037,2755
"SMPDL3B",702,1047,792,671
"XKR8",688,859,635,635
"EYA3",1420,1817,1497,1454
"PTAFR",1466,2084,1193,1220
"DNAJC8",3155,4324,3759,3342
"ATP5IF1",7054,9305,11452,6829
"SESN2",2904,3564,2665,2407
"MED18",1025,1441,1109,1049
"PHACTR4",4163,5161,3932,4033
"RCC1",6973,9205,7083,6807
"SNHG3",1940,2076,2494,2088
"SNORA73B",150,117,186,157
"TRNAU1AP",1149,1691,1351,1202
"SNHG12",1284,1527,1696,1181
"SNORD99",45,56,76,69
"SNORA61",323,372,359,318
"SNORA44",131,165,135,129
"SNORA16A",78,72,62,83
"RAB42",12,11,10,7
"TAF12",818,1177,963,993
"RNU11",6,2,1,1
"GMEB1",377,460,324,355
"YTHDF2",6006,7350,5484,5843
"EPB41",2529,3123,2232,2166
"TMEM200B",15,12,10,13
"SRSF4",7098,9370,8550,7462
"MECR",2406,3266,2683,2415
"PTPRU",9105,10897,9275,8265
"LINC01756",2,4,6,9
"MATN1",13,14,8,3
"MATN1-AS1",122,161,107,127
"LAPTM5",11,10,9,4
"SDC3",2599,3022,2616,2080
"PUM1",4983,6118,4305,4619
"NKAIN1",1897,1961,1884,1430
"SNRNP40",1421,1724,1460,1339
"ZCCHC17",2051,3118,2289,2128
"FABP3",49,58,46,51
"SERINC2",37020,49590,40009,32274
"LDC1P",8,8,0,4
"TINAGL1",18,25,29,9
"HCRTR1",5,11,9,10
"PEF1",4768,6483,4872,4630
"COL16A1",209,280,292,169
"ADGRB2",2968,3218,3609,2235
"MIR4254",0,1,0,0
"SPOCD1",731,997,1016,797
"PTP4A2",14114,18385,13677,14246
"KHDRBS1",8915,11754,9367,8730
"TMEM39B",916,1093,956,830
"MIR5585",0,1,0,0
"KPNA6",9750,12869,8796,9106
"TXLNA",8828,11298,8521,7914
"CCDC28B",197,271,187,168
"TMEM234",632,795,625,660
"IQCC",272,370,343,321
"DCDC2B",66,65,44,45
"EIF3I",9596,13838,9693,9828
"FAM167B",16,16,25,19
"LCK",2,0,0,1
"HDAC1",7967,10333,8134,7884
"MARCKSL1",7814,9131,8209,6740
"FAM229A",9,16,29,6
"TSSK3",90,142,87,113
"BSDC1",5887,7797,5225,5255
"ZBTB8B",33,35,45,29
"ZBTB8A",329,342,329,288
"ZBTB8OS",588,850,740,698
"RBBP4",5359,6290,5479,4958
"SYNC",32,51,33,28
"KIAA1522",21214,24015,21596,17709
"YARS1",4560,6591,4455,4438
"S100PBP",1610,1833,1562,1566
"FNDC5",50,54,50,40
"HPCA",1,4,5,2
"TMEM54",2527,3312,2617,2133
"RNF19B",1027,1260,872,777
"AK2",5525,7139,5689,5568
"AZIN2",139,147,147,140
"TRIM62",1756,2180,1666,1517
"ZNF362",1165,1373,1307,1074
"A3GALT2",1,3,4,3
"PHC2",2041,2607,1939,1884
"MIR3605",1,0,6,3
"PHC2-AS1",4,2,1,2
"ZSCAN20",400,518,377,402
"CSMD2",21,22,5,11
"GJB5",0,4,0,4
"GJB4",2,2,6,2
"GJB3",17,36,23,23
"GJA4",1,0,0,1
"SMIM12",1925,2815,2002,2033
"DLGAP3",416,453,490,302
"GPR199P",19,17,31,39
"TMEM35B",67,70,56,77
"ZMYM6",1709,1949,1659,1853
"ZMYM1",1197,1323,1089,1325
"SFPQ",16542,19797,16568,16302
"ZMYM4",3638,4231,3339,3326
"KIAA0319L",8793,10788,8197,7491
"NCDN",4126,4828,4090,2982
"TFAP2E",86,104,88,83
"PSMB2",8210,11644,8475,8420
"C1orf216",883,1144,926,856
"CLSPN",1920,2257,1834,1722
"AGO4",1463,1673,1386,1428
"AGO1",1710,2065,1421,1353
"AGO3",1036,1462,1114,1109
"TEKT2",6,6,9,4
"ADPRS",3576,4435,3548,3246
"COL8A2",8,5,5,9
"TRAPPC3",4820,6754,5480,4824
"MAP7D1",7220,9437,8254,6192
"THRAP3",9672,12919,9269,9180
"SH3D21",791,988,746,827
"EVA1B",215,276,353,182
"STK40",2521,3272,2503,2014
"LSM10",1209,1633,1446,1282
"OSCP1",319,408,296,271
"MRPS15",3343,4606,3914,3451
"CSF3R",1,0,0,0
"GRIK3",1089,1262,938,825
"ZC3H12A-DT",203,286,239,218
"ZC3H12A",2338,2688,2565,2083
"MIR6732",14,9,12,11
"MEAF6",4387,5886,4720,4470
"MIR5581",13,11,10,14
"SNIP1",1646,2235,1721,1738
"DNALI1",6,11,12,8
"GNL2",6124,8272,6983,6731
"C1orf109",1611,2012,1663,1549
"CDCA8",4523,6277,4686,4460
"EPHA10",2222,2720,2363,1974
"MANEAL",3066,4039,3060,2869
"YRDC",1182,1689,1326,1178
"C1orf122",1484,1990,1598,1267
"MTF1",1466,1636,1230,1269
"INPP5B",550,664,517,550
"SF3A3",3077,4109,3227,3059
"FHL3",211,282,270,244
"UTP11",1306,1919,1474,1354
"POU3F1",3,9,5,3
"RRAGC",1299,1610,1054,1236
"MYCBP",1,0,3,0
"RHBDL2",766,1199,713,702
"AKIRIN1",3320,4071,3108,3030
"NDUFS5",4331,6404,5461,5201
"MACF1",1639,2090,1419,1546
"BMP8A",187,163,219,199
"PABPC4",6388,7996,7079,6072
"SNORA55",24,32,13,24
"HEYL",76,103,81,106
"HPCAL4",2,1,3,7
"PPIE",742,1115,854,774
"BMP8B",548,641,556,570
"OXCT2",14,7,14,5
"TRIT1",567,712,577,564
"MYCL",105,144,93,77
"MFSD2A",324,340,268,224
"CAP1",23459,33233,23016,23282
"PPT1",68251,89081,68378,65381
"RLF",3308,4046,3300,3420
"TMCO2",5,9,7,8
"ZMPSTE24",7201,9489,6311,6906
"COL9A2",1179,1716,1621,989
"SMAP2",2279,3216,2204,2299
"ZFP69B",54,55,56,50
"ZFP69",90,95,87,77
"EXO5",253,315,251,265
"ZNF684",122,168,164,163
"RIMS3",351,697,327,428
"NFYC",1877,2286,2147,1799
"MIR30E",0,1,0,0
"KCNQ4",81,84,93,64
"CITED4",3312,4309,3679,3046
"CTPS1",3132,3954,2990,2848
"SLFNL1-AS1",64,81,95,66
"SLFNL1",73,85,83,92
"SCMH1",1634,1969,1758,1595
