"","MCF7_EV","MCF7_EVA","MCF7_EVAS","MCF7_OV","MCF7_OVA_1","MCF7_OVA_2","MCF7_OVAS_1","MCF7_OVAS_2"
"NPC1L1",174,106,61,176,66,86,78,94
"DDX56",14274,13070,10269,15716,10974,12934,10194,12103
"TMED4",9141,8568,8139,10066,6078,8051,7776,8171
"OGDH",15359,14672,10015,16473,8453,11333,10752,14826
"ZMIZ2",11977,10263,8386,13181,7442,9670,7102,10044
"PPIA",69411,59161,58322,79547,48730,63873,54353,54655
"H2AZ2",11904,9605,10929,13022,7534,10310,9875,9179
"PURB",7671,6931,7434,7422,3888,5992,6077,6340
"MYO1G",3,3,4,8,3,8,4,3
"SNHG15",848,718,580,959,669,780,562,526
"CCM2",4035,3476,2977,4915,3212,4135,2504,3466
"NACAD",5,13,8,3,5,16,1,5
"TBRG4",11024,10405,8221,13299,8347,11345,7130,9450
"SNORA5A",27,34,19,24,9,24,26,34
"SNORA5C",62,85,44,64,48,40,36,71
"SNORA5B",18,24,12,23,1,11,20,12
"ADCY1",2204,1987,1204,1822,988,1371,1375,1937
"IGFBP1",0,0,0,2,0,3,0,1
"IGFBP3",241,164,188,308,178,167,169,222
"TNS3",6578,4504,3375,6398,2373,3137,3876,4804
"LINC01447",14,12,4,11,4,6,10,8
"LINC02902",3,0,2,6,0,0,2,5
"LINC00525",1,0,2,0,0,2,0,1
"PKD1L1",37,22,7,30,11,19,15,14
"HUS1",823,727,664,857,530,705,678,661
"C7orf57",3,0,0,4,0,1,0,0
"UPP1",149,108,80,222,115,129,54,87
"ABCA13",1,1,0,0,0,0,0,1
"CDC14C",2,0,0,0,0,0,0,0
"IKZF1",0,0,1,0,0,0,0,0
"FIGNL1",1138,1172,923,1344,436,913,946,895
"DDC",1,9,9,2,15,24,14,22
"DDC-AS1",2,0,0,0,0,1,1,2
"GRB10",764,587,305,670,390,435,314,441
"COBL",2537,2490,1700,2896,1538,1971,1789,2157
"LINC01446",1,3,0,1,0,2,3,3
"SEC61G",1802,1368,1998,2016,1426,1989,1637,1185
"SEC61G-DT",2,0,4,3,2,2,6,6
"EGFR",111,104,50,114,61,60,49,98
"EGFR-AS1",1,0,0,0,3,0,0,0
"LANCL2",1171,1170,763,1258,708,902,859,902
"VOPP1",1176,920,823,1080,728,856,819,929
"SEPTIN14",1,0,0,0,1,0,0,1
"ZNF713",163,112,94,143,42,80,114,116
"MRPS17",1152,1063,1056,1433,1077,1279,1066,943
"NIPSNAP2",1564,1508,1915,1820,1061,1486,1689,1647
"PSPH",829,778,693,925,537,760,651,682
"CCT6A",12129,12122,10909,14748,8068,12520,9981,8898
"SNORA15",4,4,4,5,1,2,3,2
"SUMF2",6954,6217,4818,7130,4410,5619,5164,5915
"PHKG1",40,26,37,60,41,43,31,33
"CHCHD2",9916,7462,8400,13472,8282,10719,7126,6302
"ZNF479",0,0,0,0,0,0,0,1
"ZNF716",12,9,6,19,3,1,15,14
"ZNF727",68,81,67,64,22,32,63,62
"ZNF735",0,0,1,0,0,0,0,0
"ZNF736",1500,1415,1270,1526,775,1193,1235,1409
"ZNF680",456,481,655,570,223,428,368,323
"ZNF107",2719,2842,2481,2593,1120,2152,2039,2124
"MIR6839",0,0,0,0,0,1,1,0
"ZNF138",831,863,1188,1015,471,895,705,619
"ZNF273",347,340,296,340,151,280,239,263
"ZNF117",563,591,853,673,195,466,540,518
"ERV3-1",770,772,606,832,265,472,764,782
"ZNF92",173,193,296,183,88,196,150,126
"LINC03006",135,153,111,173,66,111,108,126
"SNORA22",9,12,12,13,6,2,6,9
"VKORC1L1",3621,3441,3417,3844,2288,3362,3026,3068
"GUSB",5158,4221,3806,5372,3376,4229,3858,4468
"ASL",4340,3320,2769,5189,3110,3609,2249,3243
"CRCP",3454,3481,2595,3623,1901,2809,2718,3072
"TPST1",661,463,404,673,277,380,452,410
"LINC00174",507,401,377,517,192,370,378,387
"LINC03011",61,49,84,115,84,79,64,73
"KCTD7",301,205,202,372,120,174,185,190
"RABGEF1",3248,2487,2311,3689,1458,2138,2230,2378
"GTF2IRD1P1",37,19,34,35,22,20,36,30
