"","MCF7_EV","MCF7_EVA","MCF7_EVAS","MCF7_OV","MCF7_OVA_1","MCF7_OVA_2","MCF7_OVAS_1","MCF7_OVAS_2"
"LINC02671",0,0,1,2,1,0,1,1
"CTNNA3",4,1,2,3,0,1,4,0
"LRRTM3",1,1,0,5,0,1,0,0
"DNAJC12",119,100,87,137,67,114,85,83
"SIRT1",1855,1715,1751,2078,666,1309,1469,1428
"HERC4",3242,2803,2861,3407,1402,2246,2766,2690
"MYPN",19,17,12,21,30,26,39,37
"ATOH7",2,4,5,5,2,3,5,1
"PBLD",685,638,637,802,344,560,648,600
"HNRNPH3",9648,8696,7600,11167,6445,8359,7786,7846
"RUFY2",1347,1371,1338,1530,682,1042,1131,1121
"DNA2",1574,1557,1323,1869,692,1285,1146,1158
"SLC25A16",1173,1054,1284,1203,697,1090,1060,911
"TET1",528,427,346,475,150,264,321,318
"CCAR1",6042,5828,6221,7375,3122,5042,5325,4279
"SNORD98",0,1,1,0,2,8,0,1
"STOX1",243,157,178,247,93,131,205,201
"DDX50",3831,3458,3097,4528,2487,3477,2829,2758
"DDX21",16843,18471,13488,19712,8558,13409,12641,12955
"KIFBP",2725,2599,2638,3293,1524,2591,2461,2377
"SRGN",0,1,0,1,0,3,0,2
"VPS26A",3999,3198,4103,4653,2558,3247,3326,2951
"SUPV3L1",3350,3123,3071,3848,2203,3030,2733,2615
"HKDC1",7,1,0,6,0,4,5,2
"HK1",25092,22376,16255,26953,15704,19595,17873,21447
"TACR2",43,51,47,38,36,36,39,67
"TSPAN15",10817,8729,8591,12801,8428,10075,7339,8766
"NEUROG3",3,4,0,3,3,0,0,1
"FAM241B",1686,1262,1075,2019,1256,1413,1059,1242
"COL13A1",63,67,41,54,54,59,31,59
"MACROH2A2",3325,2561,2167,3473,2186,2426,2292,2494
"AIFM2",2499,2423,2077,2999,2150,2664,1959,2419
"TYSND1",4976,4282,3445,5519,3816,4500,3202,4232
"SAR1A",9826,7635,8035,10406,5707,7832,7459,7003
"PPA1",11670,10923,10499,13620,7814,11361,9564,9128
"LRRC20",888,753,519,975,611,717,712,761
"EIF4EBP2",11287,10515,9912,11271,6147,9268,10050,10285
"NODAL",86,75,51,59,33,50,66,73
"PALD1",52,65,27,46,34,40,21,39
"PRF1",0,0,0,0,0,1,0,0
"ADAMTS14",5,8,8,7,4,5,2,7
"TBATA",307,342,263,308,231,302,218,267
"SGPL1",10115,8389,7329,9523,5128,6783,8182,9098
"PCBD1",4460,3784,3349,4921,3302,4361,3174,3145
"UNC5B",357,389,232,368,229,302,191,381
"UNC5B-AS1",2,0,0,1,2,0,1,0
"SLC29A3",1552,1510,1163,1654,1229,1464,1247,1651
"CDH23",15,21,6,16,10,12,12,16
"C10orf105",1,9,6,6,3,4,5,5
"VSIR",55,32,12,55,21,31,14,26
"PSAP",44504,36178,30688,45372,25453,30696,33575,42583
"CHST3",96,70,66,100,70,80,62,101
"SPOCK2",107,105,93,88,55,78,75,113
"ASCC1",2553,2454,2369,2896,1623,2232,2554,2497
"ANAPC16",5091,4681,5046,5818,3498,5021,4594,4398
"DDIT4",2879,3025,2004,3475,2907,4162,1627,2328
"DNAJB12",5691,5063,4053,6232,3816,4441,4019,5021
"MICU1",5523,4733,4781,6343,3104,4469,5105,5118
"MCU",2279,2162,1599,2579,1246,1813,1575,1664
"OIT3",1,2,0,1,1,0,1,5
"PLA2G12B",0,1,0,0,0,0,0,0
"P4HA1",3456,3166,3020,3477,2145,3168,2717,3034
"NUDT13",464,344,428,515,294,377,347,335
"ECD",4396,4099,3690,5425,2467,3343,3876,3614
"FAM149B1",1300,1049,1202,1525,621,975,1186,1129
"DNAJC9",6124,5142,4491,7129,4254,5917,4606,4268
"DNAJC9-AS1",67,73,74,79,33,54,56,63
"MRPS16",8106,7498,7216,9812,5978,8460,6884,6708
"CFAP70",153,105,170,168,109,145,134,135
"ANXA7",14973,14741,12160,16959,9122,14149,13448,13292
"MSS51",97,98,136,111,80,93,115,152
"PPP3CB",2649,2397,2883,2893,1423,2095,2339,2306
"USP54",3113,2538,2004,3204,1319,1779,2517,2848
"MYOZ1",29,47,26,34,43,49,32,50
"SYNPO2L",4,2,7,4,2,4,2,6
"AGAP5",108,80,73,119,36,59,75,107
"GLUD1P3",227,220,194,241,115,189,136,206
"SEC24C",16092,13749,11055,17409,8935,11207,12369,15471
"FUT11",460,439,344,460,207,333,312,443
"CHCHD1",3274,2890,3607,4381,2865,3862,2627,2603
"ZSWIM8",4948,4316,3447,5535,2534,3653,3237,4689
"ZSWIM8-AS1",67,36,43,56,43,33,38,62
"NDST2",2652,2263,1897,2501,1123,1685,2137,2693
"CAMK2G",4139,3804,3131,4705,2430,3210,3264,3693
"PLAU",7,8,6,13,7,4,11,11
"C10orf55",2,0,3,1,1,1,3,1
"VCL",9237,6480,5124,10827,3306,4888,5681,6734
"AP3M1",4114,3719,3718,4697,1948,3184,3407,3511
"ADK",4715,4418,4963,6149,3136,5004,4197,3416
"KAT6B",6165,6506,4575,6913,2715,4126,5490,5576
"DUSP29",1,1,0,1,0,1,0,1
"DUSP13",38,32,16,41,29,25,12,20
"SAMD8",2678,2440,2814,2852,1277,2006,2521,2523
"VDAC2",7532,7962,6939,9012,4715,8357,6431,6251
"COMTD1",1183,918,1115,2147,1492,1993,594,767
"ZNF503",203,173,199,251,176,286,139,152
"ZNF503-AS1",2,3,1,2,0,0,1,3
"ZNF503-AS2",111,89,66,124,82,110,81,74
"LRMDA",39,24,31,25,30,17,33,37
"KCNMA1",687,639,487,723,420,648,464,544
"KCNMA1-AS1",0,1,0,0,0,1,0,1
"DLG5",1,0,0,0,0,1,0,1
"POLR3A",5111,4648,3498,5257,2681,3446,4055,4576
"RPS24",31891,28140,30044,46352,26937,35039,25889,21368
"LINC00595",1,1,6,2,4,4,1,0
"LINC00856",1,1,6,2,4,4,1,0
"ZMIZ1",14840,12468,10551,15373,6532,9722,9859,12115
"PPIF",9569,9427,7089,9995,7300,9460,7507,8297
"ZCCHC24",268,226,175,304,149,181,156,200
"EIF5AL1",1713,1538,1409,1744,1534,1904,1517,1592
"SFTPA2",10,5,3,1,2,2,1,1
"SFTPA1",2,0,0,1,0,0,0,0
"NUTM2B-AS1",506,492,434,501,315,408,377,395
"NUTM2B",54,41,61,64,29,46,49,62
"SFTPD",137,91,84,135,99,85,74,102
"TMEM254",2880,2329,2608,2809,1527,2311,2336,2357
"PLAC9",6,6,3,7,5,3,2,8
"ANXA11",13648,10899,8967,13969,9325,10312,9330,11361
"LINC00857",0,0,0,1,0,0,0,0
"MAT1A",93,60,38,94,50,58,59,82
"DYDC1",0,1,0,0,0,0,0,0
"DYDC2",3,0,0,2,0,0,0,0
"PRXL2A",8593,7500,7133,9961,6093,7962,7293,7068
"TSPAN14",7439,7709,5856,8324,5680,7213,6170,7826
"SH2D4B",59,22,44,60,24,33,26,51
"NRG3",292,245,215,299,146,217,234,242
"GHITM",16604,16888,17609,19575,10106,17031,15436,14846
"CDHR1",0,0,0,0,0,0,0,1
"LRIT1",2,1,0,2,0,1,0,2
"RGR",0,0,1,0,0,0,0,0
"LINC00858",216,175,194,273,134,164,234,234
"CCSER2",2345,2269,2391,2519,1145,1891,1912,1898
"GRID1",33,28,18,36,11,25,18,25
"WAPL",6150,5664,5079,6936,2708,4381,4818,4900
"OPN4",0,1,3,1,0,1,0,1
"LDB3",150,207,186,201,95,169,146,200
"BMPR1A",1683,1690,1565,1868,691,1274,1491,1420
"MMRN2",630,367,496,619,253,343,464,591
"SNCG",6,3,2,7,11,10,3,5
"ADIRF",3106,1935,2675,4052,2459,2751,1955,2103
"FAM25A",5,2,12,8,3,5,3,3
"GLUD1",8821,9049,8859,10132,4942,8129,9060,8533
"SHLD2",1716,1942,1924,1991,1051,1846,1466,1352
"NUTM2A",66,20,26,46,17,27,17,22
"NUTM2A-AS1",440,354,341,528,222,331,287,272
"LINC00863",24,24,49,40,13,27,19,20
"NUTM2D",61,35,41,56,46,41,35,73
"MINPP1",1132,968,1396,1608,506,1026,868,851
"PAPSS2",1987,1552,1048,2055,867,1218,1066,1234
"ATAD1",3082,3328,2842,3694,1547,2812,2711,2402
"KLLN",371,315,390,332,140,266,273,381
"PTEN",4706,4581,5212,5331,2644,4266,3805,3851
"RNLS",385,339,348,492,193,351,325,333
"LIPJ",15,17,35,21,13,20,20,22
"LIPF",0,1,0,0,0,0,0,0
"LIPK",3,2,4,12,3,2,8,3
"LIPN",0,0,0,1,0,0,0,0
"LIPM",1,0,0,0,1,0,0,0
"ANKRD22",13,14,4,12,11,14,6,6
"STAMBPL1",324,285,182,371,149,234,211,155
"ACTA2",120,107,101,121,47,75,75,102
"FAS",186,182,151,209,84,170,126,139
"CH25H",2,0,1,4,0,1,1,3
"LIPA",4100,3749,3969,4459,2025,3130,3513,3594
"IFIT2",14546,11895,5274,14614,5304,7644,4884,5785
"IFIT3",30227,24681,14076,32123,15195,19138,14172,16199
"IFIT1B",13,8,18,16,7,7,10,9
"IFIT1",36303,28472,23399,45612,19905,26519,22076,18820
"IFIT5",7575,7116,5084,8487,3607,5664,5074,4997
"SLC16A12",10,3,5,8,2,6,6,3
"PANK1",910,778,765,981,431,651,760,726
"KIF20B",2150,2244,2550,2667,1104,1815,2008,1588
"LINC00865",26,21,19,25,8,19,24,28
"LINC02653",1,0,0,0,0,0,0,0
"HTR7",7,5,3,8,3,1,2,4
"RPP30",1785,1719,1943,2168,1311,1760,1501,1368
"ANKRD1",18,10,10,42,11,11,5,7
"PCGF5",3389,3484,3092,3380,1747,2894,2686,2736
"HECTD2",546,580,622,660,284,529,512,438
"PPP1R3C",63,79,73,68,34,80,69,53
"TNKS2-DT",36,36,56,36,30,43,34,31
"TNKS2",4915,4793,4471,5258,1905,3197,4318,4436
"FGFBP3",369,304,397,421,277,424,278,285
"BTAF1",4147,4034,3528,4690,1436,2811,3385,3305
"CPEB3",624,416,410,612,176,231,393,445
"MARCHF5",3268,3030,3414,3891,1788,3022,2874,2905
"IDE",4342,4669,4265,4831,2594,3745,3945,3993
"KIF11",6740,6281,6609,7556,3534,5767,5818,5830
"HHEX",76,70,65,78,47,98,69,53
"EXOC6",1403,1271,1425,1706,823,1194,1041,919
"CYP26C1",0,0,0,0,0,0,1,0
"CYP26A1",18,16,16,19,24,31,15,32
"MYOF",17700,16862,11618,19575,7794,11750,14176,15444
"CEP55",3499,3129,3079,4184,1843,3125,3007,2658
"RBP4",1,0,4,0,0,0,0,0
"PDE6C",6,6,13,10,7,5,3,6
"FRA10AC1",827,759,971,1034,602,835,725,628
"LGI1",0,0,1,0,1,0,2,0
"SLC35G1",332,318,293,322,152,270,270,271
"PLCE1",209,139,115,248,51,114,132,91
"PLCE1-AS2",0,0,0,1,0,0,1,1
"NOC3L",1492,1363,1338,1771,798,1290,1044,1028
"TBC1D12",1310,1388,1425,1379,660,1247,1193,1099
"HELLS",1717,1667,1743,2070,883,1643,1252,1076
"CYP2C18",2,0,0,4,2,0,4,0
"CYP2C19",1,0,0,0,1,0,0,0
"CYP2C9",0,0,0,0,0,0,0,1
"CYP2C8",0,0,1,1,0,1,0,1
"ACSM6",1,0,0,1,0,0,0,1
"PDLIM1",4688,3736,3228,4625,3310,4163,3852,4274
"SORBS1",148,246,117,151,110,168,99,143
"ALDH18A1",10970,11100,8271,11608,6246,9674,9469,9772
"TCTN3",4639,4361,3594,5068,2605,3979,3943,4090
"ENTPD1",3071,3047,2497,3332,1746,2554,2420,2453
"ENTPD1-AS1",34,27,14,32,11,23,14,14
"CC2D2B",32,27,36,20,10,20,20,23
"CCNJ",975,1113,1058,1102,546,982,909,796
"ZNF518A",1325,1299,1545,1381,590,1047,1122,1012
"BLNK",784,551,543,815,311,517,476,491
"DNTT",1,0,0,0,1,0,0,0
"OPALIN",2,0,0,1,0,0,0,0
"TLL2",7,4,12,16,6,11,10,11
"TM9SF3",11414,11249,13811,12752,6303,10526,10181,9547
"PIK3AP1",146,140,150,194,96,134,156,147
"RPL13AP5",2485,1602,1871,2721,1741,1924,896,945
"LCOR",1899,2100,2165,1821,723,1539,1525,1881
"SLIT1",301,268,197,370,133,207,168,253
"SLIT1-AS1",0,0,0,1,0,0,0,0
"ARHGAP19",2278,1876,1570,2252,1463,1711,1721,1865
"FRAT1",1110,836,924,1241,625,841,880,953
"FRAT2",4334,4099,4013,4337,3134,4120,3855,4293
"RRP12",8734,8140,5515,10260,5870,7940,5357,7006
"PGAM1",6480,6016,4852,6997,3988,5688,5245,6013
"EXOSC1",2757,2297,2292,3299,1868,2429,2294,2220
"ZDHHC16",4891,4171,4042,5330,3118,4048,4450,4625
"MMS19",8694,7460,6012,9040,4981,6601,6649,7838
"UBTD1",502,305,359,729,335,456,265,334
"ANKRD2",24,5,10,22,10,6,7,3
"HOGA1",63,55,32,65,43,33,33,55
"C10orf62",2,0,0,1,0,0,1,0
"MORN4",890,825,779,1083,567,768,775,856
"PI4K2A",3305,2575,1939,3426,1915,2113,2421,2717
"AVPI1",3269,1820,1800,4427,1722,2050,1854,1786
"MARVELD1",6491,4977,4035,6188,3447,4246,4163,5181
"ZFYVE27",3043,2503,2211,3411,2091,2403,1980,2661
"SFRP5",3,0,1,3,0,1,0,3
"GOLGA7B-DT",1,1,4,0,0,2,2,2
"GOLGA7B",302,209,236,335,276,272,260,390
"CRTAC1",9,2,5,3,3,1,7,9
"R3HCC1L",2457,1950,1747,2527,1372,1682,1981,1800
"LOXL4",16,7,2,14,3,3,14,10
"PYROXD2",1951,1524,1669,2192,1014,1379,1393,1699
"MIR1287",0,0,0,0,0,0,0,1
"HPS1",4591,3665,3469,5165,2691,3716,3263,4021
"MIR4685",3,3,2,3,2,5,6,4
"HPS1-AS1",2,2,9,7,5,4,1,2
"HPSE2",2,2,3,2,1,2,3,0
"CNNM1",505,496,458,575,278,385,539,607
"GOT1",6939,6871,5048,7391,5182,7044,5960,6527
"LINC01475",1,0,1,0,0,3,3,0
"NKX2-3",17,9,16,10,10,10,12,14
"SLC25A28",4958,4374,3501,5066,3242,4244,3348,3726
"ENTPD7",743,655,519,797,286,466,551,643
"COX15",5581,4814,4431,5666,3151,4560,4345,4723
"CUTC",1384,1315,1142,1396,766,1306,1084,1072
"ABCC2",523,418,257,467,189,281,279,392
"DNMBP",964,761,622,1000,321,488,739,793
"ERLIN1",3939,3511,2889,3999,2253,3127,3144,3118
"CHUK",3065,3087,2584,3602,1471,2478,2431,2491
"CWF19L1",4136,3653,3316,4204,2297,3299,3490,3679
"SNORA12",37,27,28,36,17,33,18,33
"BLOC1S2",2890,3010,3426,3896,2007,3618,2523,2443
"PKD2L1",18,12,19,10,16,4,11,15
"SCD",184630,260093,186868,223986,178104,250389,207275,210527
"OLMALINC",1430,1244,991,1808,1168,1444,1322,1231
"WNT8B",54,78,70,50,38,69,53,87
"SEC31B",399,399,471,450,202,291,430,541
"NDUFB8",4659,3996,3966,5628,4108,4706,3569,3879
"HIF1AN",7079,6555,5883,6926,4234,5943,6384,7358
"PAX2",3,3,5,4,9,12,3,3
"SLF2",3011,2637,2661,3152,1401,2290,2303,2380
"SEMA4G",572,639,361,577,346,535,383,452
"MIR608",0,0,0,0,2,0,0,0
"MRPL43",3855,3360,3486,5362,3430,4311,2655,2964
"TWNK",3481,3581,2701,3950,2311,3337,3139,3466
"LZTS2",3581,2895,2663,4708,2260,3574,1751,2574
"PDZD7",125,148,88,149,111,160,81,115
"SFXN3",3287,3317,2546,3202,2385,2929,2641,3401
"KAZALD1",3094,2441,2430,3792,2268,2678,2002,2568
"TLX1NB",99,89,98,161,92,90,94,100
"TLX1",20,11,10,26,20,33,18,25
"LINC01514",1,0,0,0,0,0,0,0
"LINC02681",1,0,1,0,0,0,0,0
"BTRC",2568,2235,1913,2846,1244,1889,2068,2032
"POLL",2981,2219,1933,3339,1852,2261,1902,2561
"DPCD",1540,1129,1259,1760,1082,1319,1179,1269
"FBXW4",6217,4727,4308,6292,4737,5230,4539,5337
"FGF8",3,2,1,4,2,1,2,5
"NPM3",3840,3585,2919,4308,3535,4404,2439,2871
"OGA",15970,14296,14452,16773,7329,11841,14125,13634
"KCNIP2",111,121,84,115,70,103,63,70
"ARMH3",3720,3190,2807,3913,2071,2632,3110,3272
"HPS6",2710,2476,1814,2717,1740,2156,1603,2434
"LDB1",7463,6163,5737,8111,4404,5497,5594,7065
"PPRC1",9653,8765,5623,10112,5310,7055,6009,7353
"NOLC1",23094,24103,16782,26292,14740,21155,18428,19285
"ELOVL3",27,21,23,24,17,27,16,18
"PITX3",13,5,5,8,7,13,6,5
"GBF1",12762,11476,8241,13014,6076,8777,9719,12115
"NFKB2",8536,5023,3623,10481,3712,4514,3356,4380
"PSD",372,337,335,437,310,377,222,328
"FBXL15",833,621,754,1293,951,1157,429,626
"CUEDC2",4492,3716,3704,4908,3508,3835,3301,4078
"C10orf95-AS1",1393,1052,1124,1433,1085,1214,1165,1232
"C10orf95",17,17,19,28,22,29,12,19
"MFSD13A",675,577,449,726,471,665,348,480
"ACTR1A",6726,5829,4593,7314,3757,5094,5446,6351
"SUFU",2828,2325,1923,2770,1397,1876,1964,2624
"TRIM8",5463,4589,4193,6014,3740,4476,3651,4461
"ARL3",1551,1175,1209,1898,959,1198,1157,1138
"SFXN2",3061,2725,2038,3221,1745,2398,2125,2172
"WBP1L",7794,6583,5643,7924,4780,5871,6232,6912
"CYP17A1",6,10,2,13,7,9,8,5
"BORCS7",345,239,389,379,223,263,243,230
"CNNM2",403,400,320,383,231,341,277,426
"NT5C2",1982,1961,1891,2344,1105,1650,1885,1966
"RPEL1",187,152,102,192,90,105,119,130
"INA",0,1,0,0,2,0,0,0
"PCGF6",510,605,616,654,385,623,479,438
"TAF5",707,705,643,867,353,686,631,612
"ATP5MK",3136,3053,4663,4321,2570,4717,2696,2171
"PDCD11",10606,10850,6706,10596,6413,8311,7613,9683
"CALHM2",1987,1831,1105,2168,1341,1862,971,1329
"CALHM1",14,14,7,10,4,9,9,20
"CALHM3",5,19,2,10,17,29,4,11
"NEURL1",478,1348,392,553,1345,1676,279,431
"SH3PXD2A",243,740,164,197,290,491,173,235
"STN1",3209,3266,3035,3821,2543,3243,3283,3413
"SLK",6600,6658,5559,8286,3364,4871,5879,5675
"COL17A1",11,5,2,10,9,7,5,8
"SFR1",470,425,412,527,274,387,329,318
"CFAP43",76,44,48,66,28,34,63,71
"GSTO1",5484,4505,4789,6519,4261,5697,4019,3533
"MIR4482",11,12,7,14,0,5,0,13
"GSTO2",5101,4325,4107,5377,3376,4145,4163,4226
"ITPRIP",3452,2366,1716,4243,1538,2091,2138,1948
"CFAP58",36,17,18,32,7,14,18,19
"CFAP58-DT",34,20,34,46,26,28,19,24
"LINC02620",27,7,25,47,15,11,23,14
"SORCS3",0,0,0,2,0,0,0,0
"SORCS1",6,1,4,3,0,2,4,3
"XPNPEP1",3590,3425,2750,3963,2554,3261,3065,3516
"ADD3-AS1",1,0,0,0,1,1,2,0
"ADD3",451,546,733,535,236,472,655,604
"MXI1",1622,1355,1705,1728,861,1384,1335,1317
"SMNDC1",1932,1852,1855,2257,948,1677,1703,1389
"DUSP5",5989,6315,3056,6842,3495,4893,3731,2712
"SMC3",7466,7257,6636,8979,3361,6812,6266,5110
"RBM20",39,12,27,45,11,23,20,44
"PDCD4",7675,5436,7583,9363,3648,5496,6739,6168
"BBIP1",384,362,368,556,229,375,327,255
"SHOC2",2908,2611,2908,3380,1375,2334,2499,2351
"RPL13AP6",18,7,8,14,7,8,9,10
"MIR548E",0,0,0,0,0,0,0,2
"ADRA2A",206,188,98,266,109,165,115,112
"GPAM",1046,1082,1016,1041,438,768,916,881
"ACSL5",71,39,30,91,39,37,46,45
"ZDHHC6",3451,3182,3428,3884,2078,3130,2865,2824
"VTI1A",4575,4023,3280,4939,2268,3481,3462,3669
"MIR4295",0,1,0,0,0,0,0,0
"TCF7L2",2155,1975,1765,2055,931,1331,1679,1823
"HABP2",9,8,11,14,8,7,4,7
"NRAP",3,4,3,2,3,0,2,2
"CASP7",6705,5544,4805,7577,3458,4757,5096,5080
"PLEKHS1",308,428,350,382,281,396,480,374
"MIR4483",0,3,2,0,1,0,0,0
"DCLRE1A",1912,1849,1710,2196,962,1766,1560,1317
"NHLRC2",1579,1699,1244,1751,717,1184,1160,1305
"ADRB1",90,147,105,109,117,184,75,75
"CCDC186",1410,1577,1382,1593,692,1083,1342,1290
"TDRD1",1206,1191,1127,1396,579,1000,1031,969
"VWA2",114,148,197,154,73,115,150,149
"AFAP1L2",3294,6319,3623,3277,3361,5345,3278,3340
"ABLIM1",3224,2966,2630,2929,1481,2233,2366,2669
"FHIP2A",1602,1487,1517,1522,547,1013,1291,1489
"TRUB1",1463,1513,1526,1651,774,1154,1379,1398
"LINC02626",1,2,1,1,0,0,0,3
"ATRNL1",79,47,71,79,26,60,52,65
"GFRA1",21845,18393,14934,21960,10593,15795,15270,15904
"PNLIPRP3",0,0,0,0,1,0,2,1
"PNLIP",0,0,0,1,1,2,0,1
"PNLIPRP1",7,8,16,24,9,16,19,13
"PNLIPRP2",0,0,1,0,0,0,0,0
"C10orf82",59,44,36,46,13,48,21,26
"HSPA12A",554,582,360,547,264,437,428,436
"ENO4",148,140,203,164,120,150,121,150
"SHTN1",9762,9308,8682,10958,4430,6912,8760,8982
"VAX1",3,3,2,5,10,6,2,1
"KCNK18",0,1,0,0,0,0,0,0
"SLC18A2",207,212,330,226,146,237,208,222
"PDZD8",2282,2255,2152,2519,1053,1749,2077,2114
"EMX2OS",0,0,0,1,0,1,0,0
"RAB11FIP2",1087,1183,1024,1090,567,891,951,1072
"CASC2",120,95,134,136,76,121,124,92
"FAM204A",2660,2410,2543,3085,1611,2276,2242,2059
"LINC00867",5,2,3,4,3,1,8,7
"PRLHR",0,0,0,0,1,0,0,1
"CACUL1",5088,4436,4916,5145,2852,4026,4434,4317
"NANOS1",946,692,953,1012,656,784,815,636
"EIF3A",24159,21961,15909,28466,11709,16970,19345,18589
"SNORA19",6,4,0,6,0,1,2,2
"DENND10",1133,981,1065,1321,629,870,1027,922
"SFXN4",3075,3128,2750,3742,2724,3513,2497,2461
"PRDX3",7896,7214,7853,10019,4188,7133,6393,6452
"GRK5",211,148,111,218,74,106,125,121
"RGS10",1593,1341,1372,1915,1194,1583,1155,1017
"TIAL1",8333,7467,7142,9266,5145,7615,6687,6300
"BAG3",27355,21954,19235,28238,13177,18587,18225,20334
"INPP5F",2601,2281,1869,2900,1065,1903,1871,1720
"MCMBP",8407,8520,7296,9464,4654,7782,6999,6856
"SEC23IP",5027,4797,4494,5779,2344,3695,4425,4614
"MIR4682",0,1,0,0,2,0,0,2
"PLPP4",0,0,0,0,2,0,0,0
"WDR11-DT",2,1,0,0,0,1,3,3
"WDR11",4358,4135,3706,4750,2002,3176,4139,4188
"FGFR2",2301,1996,1905,2699,1002,1627,2235,2023
"ATE1",2028,1947,1888,2306,965,1513,1809,1722
"ATE1OSP",19,14,17,21,4,15,15,25
"NSMCE4A",4000,3281,3557,4793,2386,3677,2837,2570
"TACC2",3917,3371,2440,4058,2038,2650,2806,3538
"BTBD16",0,1,2,0,1,1,0,0
"PLEKHA1",1378,1403,1303,1510,640,1036,1309,1350
"ARMS2",5,1,1,2,0,2,2,3
"HTRA1",2226,2305,1569,2213,1400,2073,1782,1742
"DMBT1",0,0,0,0,0,1,0,0
"DMBT1L1",0,0,0,0,1,2,1,0
"FAM24B",167,175,166,259,140,186,148,109
"FAM24A",0,1,0,0,0,1,0,1
"C10orf88",492,435,555,584,249,458,424,396
"PSTK",266,268,252,307,201,282,231,245
"IKZF5",1332,1218,1083,1377,629,999,1056,1135
"ACADSB",1842,2032,1933,2261,982,1576,1935,1766
"BUB3",10371,10129,10833,11340,6652,10237,9064,9546
"GPR26",0,0,2,0,0,0,0,0
"CPXM2",58,24,23,49,18,16,23,21
"CHST15",14891,11897,9768,15355,6563,9319,9919,11149
"OAT",4902,5023,4680,6187,2925,4041,5145,4771
"NKX1-2",0,1,0,0,0,1,0,0
"LHPP",1609,1304,1106,1844,1148,1317,1124,1292
"FAM53B",9213,8027,6438,10569,5467,7723,6100,8526
"EEF1AKMT2",1051,1085,1284,1229,775,1122,939,820
"ABRAXAS2",1870,1716,1785,2151,1019,1600,1640,1616
"ZRANB1",5652,4646,4130,6298,2622,3672,4327,4292
"CTBP2",8645,7742,6789,10674,4268,6698,6483,7107
"MIR4296",0,0,0,0,0,0,0,1
"TEX36",0,1,1,0,0,1,0,0
"EDRF1-DT",36,27,35,31,23,27,28,46
"EDRF1",1960,1892,1795,2139,762,1523,1470,1425
"MMP21",8,22,14,15,18,11,8,14
"UROS",3141,2941,2799,3865,2454,3208,2828,2801
"MIR4484",0,1,1,0,0,2,0,0
"BCCIP",4794,4717,4992,6307,3486,5329,4218,3775
"DHX32",4333,3898,3530,4789,2246,3428,3760,3572
"FANK1",356,226,302,381,198,236,250,277
"ADAM12",30,12,12,17,8,13,22,12
"C10orf90",0,0,0,0,0,0,2,0
"DOCK1",4643,4492,3715,4958,2232,3294,4116,4223
"INSYN2A",56,109,62,54,39,94,54,50
"CLRN3",1,0,2,2,0,0,0,0
"PTPRE",273,354,175,313,170,251,245,223
"MKI67",41984,34574,23622,40069,18520,23512,31170,33908
"LINC01163",0,0,0,0,0,0,1,1
"MGMT",3538,2619,2864,4477,3309,3366,1993,2391
"EBF3",45,37,41,39,31,49,36,34
"MIR4297",5,2,2,4,1,1,4,1
"C10orf143",251,212,224,268,167,199,197,152
"GLRX3",3710,3650,3211,4433,2777,3689,2842,2669
"TCERG1L",3,0,0,1,0,0,0,0
"TCERG1L-AS1",0,0,1,0,1,2,2,0
"LINC01164",2,2,6,5,1,4,4,3
"PPP2R2D",4026,3630,3443,5033,2729,3713,3204,3503
"BNIP3",4522,2875,3593,4316,2394,3489,2742,3235
"JAKMIP3",420,422,360,385,244,289,319,365
"DPYSL4",239,221,159,235,194,293,96,178
"STK32C",996,940,839,1287,908,1209,575,810
"LRRC27",812,601,663,854,529,651,639,705
"PWWP2B",1739,1372,1283,2304,1451,1945,802,1156
"INPP5A",3486,3126,3266,4200,2225,2800,2734,3095
"CFAP46",31,23,36,42,16,34,17,23
"LINC01166",47,28,33,47,32,31,24,35
"LINC01167",8,6,3,5,5,7,2,4
"LINC01168",8,8,4,13,3,5,3,5
"ADGRA1",39,36,20,46,18,45,20,32
"KNDC1",191,168,137,299,136,199,80,141
"VENTX",1,0,0,0,0,0,0,0
"ADAM8",637,584,570,755,447,679,367,490
"TUBGCP2",8934,7975,6681,10905,5891,7847,5979,7562
"ZNF511",1883,1583,1596,2546,1569,2154,1061,1333
"CALY",4,3,6,9,5,8,5,1
"PRAP1",30,36,26,30,27,25,24,33
"FUOM",1003,804,686,1252,949,1121,416,579
"ECHS1",19011,16489,14590,20170,14091,17045,14621,15851
"MIR3944",2,5,3,2,0,2,2,1
"PAOX",272,264,147,291,200,253,130,190
"MTG1",3795,3108,2739,4503,3001,3564,2251,2828
"SPRN",322,295,224,414,218,324,173,260
"SCART1",344,314,268,439,193,281,227,309
"CYP2E1",241,226,256,225,170,189,236,185
"SYCE1",2,1,3,3,4,5,5,3
"FRG2B",0,0,1,0,1,2,2,3
"ODF3",0,0,0,1,0,0,0,0
"BET1L",3050,2970,2221,3158,1901,2615,2497,3078
"RIC8A",9481,7972,6362,10145,5499,7478,6630,8634
"MIR6743",1,1,0,0,0,0,0,0
"SIRT3",1877,1636,1538,1972,1277,1586,1516,1753
"PSMD13",9436,8504,7581,10679,7438,8988,7631,8084
"NLRP6",30,17,22,36,10,28,16,19
"PGGHG",3299,2659,2379,3871,2261,2837,1462,2181
"IFITM5",3,1,1,2,0,2,0,0
"IFITM2",19119,15526,11386,19854,14192,15854,11410,13278
