"gene","Control","Aldo","Fine","Spiro","Aldo_Fine","Aldo_Spiro"
"MED20",8604,6629,6806,6368,6307,6447
"MED21",10139,8077,8150,7751,7482,7759
"MED22",7979,6088,6416,5941,6610,6008
"MED23",14232,11510,13669,12243,12083,11983
"MED24",9971,7917,9389,8392,9008,7936
"MED25",5899,4602,5318,4633,5218,4624
"MED26",2180,1764,1858,1654,1794,1811
"MED27",3628,2585,2622,2583,2483,2689
"MED28",8259,6102,6328,6048,6077,6134
"MED29",10278,7965,8464,7718,8018,8199
"MED30",4075,3077,3016,2868,2859,2888
"MED31",2008,1463,1506,1476,1436,1539
"MED4",10470,7893,7852,7408,7114,7664
"MED4-AS1",2,1,3,5,1,1
"MED6",11506,8831,9027,8304,8008,8595
"MED7",2682,1892,2057,1915,1869,1903
"MED8",7666,5749,6293,5588,5851,5770
"MED9",5532,4241,4253,4062,3955,3992
"MEDAG",6,3,8,5,3,7
"MEF2A",12648,11397,11215,10441,10018,10525
"MEF2B",2,1,1,3,0,3
"MEF2C",383,310,342,361,299,304
"MEF2C-AS1",0,1,0,3,0,1
"MEF2D",8386,6585,7536,6997,7149,6562
"MEFV",53,68,38,41,52,33
"MEG3",602,448,813,621,689,482
"MEG9",42,26,44,47,40,30
"MEGF10",91,61,73,81,75,83
"MEGF11",12,6,19,14,13,12
"MEGF6",3608,2545,3659,3037,3204,2698
"MEGF8",8136,6557,7816,7083,7543,7062
"MEGF9",6563,5181,5628,5388,5535,5786
"MEI1",142,126,136,120,130,137
"MEI4",136,95,105,88,105,115
"MEIG1",13,16,10,23,9,8
"MEIKIN",1,0,0,0,0,0
"MEIOB",835,683,695,672,645,579
"MEIOC",108,75,132,109,96,74
"MEIOSIN",34,14,41,18,31,16
"MEIS1",758,539,679,596,621,597
"MEIS1-AS2",1,2,2,1,1,0
"MEIS2",8523,6081,7084,6700,6591,6391
"MEIS3",6169,4484,5078,4660,4899,4670
"MELK",27549,21819,21979,20529,20098,20869
"MELTF",20206,15165,16869,15418,16236,15024
"MELTF-AS1",319,263,414,329,373,262
"MEMO1",4526,3624,3646,3372,3233,3346
"MEN1",11941,9038,10306,9563,9870,9132
"MEOX1",86,37,60,59,58,67
"MEOX2",530,410,474,471,443,466
"MEP1A",5,3,4,2,2,0
"MEP1B",10,8,9,9,4,7
"MEPCE",10563,8272,8836,8312,8304,7907
"MEPE",0,0,0,0,0,0
"MERTK",2348,1920,2282,2001,1959,1798
"MESD",19788,15090,15719,14373,14215,14811
"MESP1",711,469,489,478,472,446
"MESP2",47,42,22,37,33,24
"MEST",4,10,6,6,3,2
"MESTIT1",1,1,1,0,0,0
"MET",30794,25335,26379,25411,24595,26335
"METAP1",22494,17822,17940,16877,16894,17186
"METAP1D",2716,2059,2518,2224,2323,2023
"METAP2",34216,26593,26766,25249,24350,26276
"METRN",2526,1818,1733,1564,1569,1569
"METRNL",17,16,6,11,9,9
"METTL1",3936,2844,3189,2865,2959,2969
"METTL13",10311,7947,8335,8040,8105,8005
"METTL14",7869,6084,6470,5824,5667,6022
"METTL14-DT",14,9,14,9,9,5
"METTL15",2111,1822,1831,1714,1697,1714
"METTL16",12546,9372,10598,9681,9556,9584
"METTL17",9276,7013,8710,7745,7992,6783
"METTL18",1958,1494,1489,1376,1335,1417
"METTL21A",2808,2086,2197,2181,1951,2108
"METTL21C",2,0,0,1,0,1
"METTL21EP",12,8,8,10,6,10
"METTL22",2224,1640,1995,1796,1919,1684
"METTL23",3823,2588,2898,2774,2698,2662
"METTL24",10,8,11,7,10,5
"METTL25",1087,773,945,807,814,854
"METTL25B",3280,2430,2866,2585,2614,2419
"METTL26",4812,3231,3643,3370,3311,3062
"METTL27",163,119,130,96,130,118
"METTL2A",3911,2948,2893,3117,2840,3178
"METTL2B",3357,2522,2622,2502,2438,2446
"METTL3",9474,7005,8715,7596,7877,6932
"METTL4",4685,3622,4080,3477,3429,3618
"METTL5",5606,4058,3963,4063,3749,4064
"METTL6",5312,4039,4147,3947,3960,3961
"METTL7A",654,871,515,500,663,497
"METTL7B",1207,1117,876,865,822,818
"METTL8",4120,3164,3344,3102,3108,3129
"METTL9",20851,16155,15789,15012,14650,15603
"MEX3A",2054,1699,1907,1789,1783,1679
"MEX3B",2227,1783,1861,1773,1788,1736
"MEX3C",9219,7641,7499,7157,6737,6964
"MEX3D",6890,5093,4973,4785,4395,4482
"MFAP1",15086,11622,12094,11211,10951,11835
"MFAP2",2182,1675,1730,1648,1711,1490
"MFAP3",18458,15570,16248,14935,14695,15367
"MFAP3L",402,341,348,337,316,294
"MFAP4",93,84,100,71,96,94
"MFAP5",2272,1723,1670,1570,1681,1657
"MFF",10138,7694,8114,7616,7365,7569
"MFGE8",36945,27911,30378,28735,29112,27616
"MFHAS1",8609,7045,7138,6658,6659,7141
"MFN1",17488,13957,14343,13526,13367,13843
"MFN2",28777,23416,24674,23074,23204,22694
"MFNG",360,336,380,284,377,259
"MFRP",0,0,0,0,0,0
"MFSD1",15589,11936,12294,11537,10941,11660
"MFSD10",6153,4685,4933,4630,5050,4520
"MFSD11",5997,4481,4728,4398,4274,4380
"MFSD12",18035,12672,15251,13772,14107,13140
"MFSD13A",1590,1070,1348,1250,1314,1171
"MFSD13B",9,8,18,10,6,8
"MFSD14A",26608,20896,21365,20676,19886,20386
"MFSD14B",30171,23937,23888,22640,22063,23364
"MFSD14CP",289,205,282,216,208,202
"MFSD2A",2048,1745,1721,1540,1526,1484
"MFSD2B",16,16,21,21,21,18
"MFSD3",1721,1225,1366,1224,1315,1184
"MFSD4A",73,51,63,73,61,43
"MFSD4B",2074,1316,1680,1360,1296,1313
"MFSD5",5946,4550,4458,4339,4237,4298
"MFSD6",8003,7284,7026,6687,6548,6783
"MFSD6L",16,5,1,3,4,7
"MFSD8",5091,4125,4435,4085,4059,3876
"MFSD9",6382,5088,5476,4801,4812,5061
"MGA",7285,6707,7324,6446,6686,6906
"MGAM",0,1,0,1,1,2
"MGAM2",0,0,0,0,0,0
"MGARP",2194,1539,1679,1529,1564,1541
"MGAT1",19819,15778,16026,14501,15768,15489
"MGAT2",28756,21993,21929,21286,20480,21191
"MGAT3",52,38,42,34,27,34
"MGAT3-AS1",0,0,0,0,1,0
"MGAT4A",3883,3520,3378,3011,2876,3220
"MGAT4B",34020,24949,26593,24713,25217,24723
"MGAT4C",2,4,4,3,1,3
"MGAT4D",0,3,0,1,2,1
"MGAT4EP",0,0,1,1,1,0
"MGAT5",17070,13985,14944,14350,14177,15144
"MGAT5B",5093,3751,4359,3948,4177,3932
"MGLL",7910,6472,6353,6089,6039,6082
"MGME1",17888,13973,14504,13397,13411,14024
"MGMT",42,43,36,41,45,42
"MGP",7,2,3,8,7,2
"MGRN1",9118,7690,8523,7891,8766,7804
"MGST1",19953,14874,14686,14326,14034,14862
"MGST2",3378,2372,2526,2534,2384,2379
"MGST3",12355,9390,9054,8690,8903,9106
"MIA",0,1,0,2,2,0
"MIA2",8768,6848,7422,7099,6642,6918
"MIA2-AS1",51,34,33,44,28,45
"MIA3",17587,14531,17203,15437,15508,14837
"MIAT",113,85,122,113,90,81
"MIB1",22892,20029,21211,19777,19365,20530
"MIB2",5033,3611,4571,3833,4227,3471
"MICA",77,61,59,55,67,146
"MICAL1",5913,4566,5898,5180,5538,4459
"MICAL2",42109,35263,36998,34914,35082,36151
"MICAL3",25449,23900,25797,23139,24651,22608
"MICALL1",15441,11972,12625,11747,12141,11608
"MICALL2",2191,1553,2326,1860,2304,1654
"MICB",5,3,3,1,2,1
"MICOS10",11241,8529,7925,7633,8032,8383
"MICOS13",4871,3543,3626,3547,3719,3620
"MICU1",15146,11970,12645,12056,11612,11783
"MICU2",17529,13537,13711,12702,12287,13202
"MICU3",1637,1258,1463,1353,1329,1236
"MID1",24475,17610,21038,20014,19610,19710
"MID1IP1",12537,9247,9486,9377,9747,9446
"MID2",4896,4432,4381,4098,4077,3945
"MIDEAS",9532,7574,8864,8161,8492,8058
"MIDN",8129,5834,6892,6188,6483,6001
"MIEF1",14222,11583,11726,10970,11075,11356
"MIEF2",2830,2203,2295,2155,2250,2140
"MIEN1",3974,2857,2980,2857,2916,2786
"MIER1",19391,16875,16384,15220,15094,16220
"MIER2",3984,3093,3344,3266,3329,3150
"MIER3",7843,6826,6890,6497,6502,6487
"MIF",0,0,0,0,0,0
"MIF4GD",2272,1729,1826,1684,1862,1740
"MIF4GD-DT",328,235,227,273,212,231
"MIGA1",8777,7620,7561,7158,7137,7446
"MIGA2",4646,3676,4378,3868,4275,3619
"MIIP",3762,2636,3131,2972,3267,2687
"MILIP",343,209,268,243,253,227
"MILR1",1539,1092,1265,1200,1179,1100
"MIMT1",0,0,0,0,0,0
"MINAR1",361,287,294,273,287,253
"MINAR2",0,0,0,0,0,0
"MINCR",147,102,137,128,154,114
"MINDY1",2115,1451,1903,1617,1793,1557
"MINDY2",7789,7031,6850,6488,6488,6648
"MINDY3",5022,3971,4397,3900,4072,3935
"MINDY4",0,0,1,1,2,1
"MINK1",19161,15053,18978,16896,18208,14964
"MINPP1",11290,8629,9256,8551,8238,8673
"MIOS",4369,3378,3648,3444,3287,3333
"MIOX",132,88,145,115,133,94
"MIP",23,15,14,19,7,16
"MIPEP",4463,3581,3633,3348,3435,3511
"MIPOL1",1951,1641,1789,1731,1567,1645
"MIR1-1",0,0,0,0,0,0
"MIR1-1HG",0,0,2,0,0,1
"MIR1-2",0,0,0,0,0,0
"MIR100",0,0,0,1,0,0
"MIR100HG",788,455,674,603,509,628
"MIR101-1",0,0,0,0,0,0
"MIR101-2",0,0,0,0,0,0
"MIR103A1",0,0,0,0,0,0
"MIR103A2",5,1,4,0,1,1
"MIR103B1",0,0,0,0,0,0
"MIR103B2",0,0,0,0,0,0
"MIR105-1",0,0,0,0,0,0
"MIR105-2",0,0,0,0,0,0
"MIR106A",0,0,0,0,0,0
"MIR106B",10,7,5,3,6,6
"MIR107",0,0,0,0,0,0
"MIR10A",0,0,0,0,0,0
"MIR10B",1,2,1,0,0,0
"MIR1178",0,0,0,0,0,1
"MIR1179",0,0,0,0,0,0
"MIR1180",2,1,2,1,3,2
"MIR1181",0,0,0,0,0,0
"MIR1182",0,0,0,0,0,0
"MIR1183",0,0,0,1,0,0
"MIR1184-1",0,0,0,0,0,0
"MIR1184-2",0,0,0,0,0,0
"MIR1184-3",0,0,0,0,0,0
"MIR1185-1",0,0,0,0,0,0
"MIR1185-2",0,0,0,0,0,0
"MIR1193",0,0,0,0,0,0
"MIR1197",0,0,0,0,0,0
"MIR1199",0,0,0,0,0,0
"MIR1200",0,0,0,0,0,0
"MIR1202",0,0,0,0,0,0
"MIR1203",0,0,0,0,0,0
"MIR1204",51,41,37,36,42,41
"MIR1205",0,0,0,0,0,0
"MIR1206",1,0,3,1,0,0
"MIR1207",0,0,0,0,0,0
"MIR1208",2,1,0,0,2,1
"MIR122",0,0,0,0,0,0
"MIR1224",0,0,0,0,0,0
"MIR1225",0,0,0,0,0,0
"MIR1226",0,0,0,0,0,1
"MIR1227",0,0,0,0,0,1
"MIR1228",0,0,0,0,0,0
"MIR1229",0,0,0,0,0,0
"MIR1231",0,0,0,0,0,0
"MIR1233-1",0,0,0,0,0,0
"MIR1233-2",0,0,0,0,0,0
"MIR1234",0,0,0,0,0,0
"MIR1236",0,0,0,0,0,0
"MIR1237",0,0,0,0,0,0
"MIR1238",0,0,0,1,0,0
"MIR124-1",0,0,0,0,0,0
"MIR124-1HG",0,0,1,0,0,0
"MIR124-2",0,0,0,0,0,0
"MIR124-3",0,0,0,0,0,0
"MIR1243",1,0,0,0,0,0
"MIR1244-1",0,0,0,0,0,0
"MIR1244-2",274,166,192,212,164,162
"MIR1244-3",268,168,164,161,134,144
"MIR1244-4",5,2,0,6,4,7
"MIR1245A",0,0,0,0,0,0
"MIR1245B",0,0,0,0,0,0
"MIR1246",0,0,0,0,0,0
"MIR1247",0,0,0,0,0,0
"MIR1248",0,0,0,0,0,0
"MIR1249",6,4,7,2,4,3
"MIR1250",0,0,0,0,0,0
"MIR1251",0,0,0,0,0,0
"MIR1252",0,0,0,0,0,0
"MIR1253",0,0,0,0,0,0
"MIR1255A",0,0,0,1,0,0
"MIR1255B1",0,0,0,0,0,0
"MIR1255B2",0,0,0,0,0,0
"MIR1256",0,0,0,0,0,0
"MIR1257",0,0,0,0,0,0
"MIR1258",0,0,0,0,0,0
"MIR125A",0,0,0,0,0,0
"MIR125B1",0,0,0,0,0,0
"MIR125B2",0,0,0,0,0,0
"MIR126",0,0,0,0,0,0
"MIR1260A",0,0,0,0,0,0
"MIR1260B",0,0,0,0,0,0
"MIR1261",0,0,0,0,0,0
"MIR1262",1,0,1,0,0,0
"MIR1263",0,0,0,0,0,0
"MIR1264",0,0,0,0,0,0
"MIR1265",0,0,0,0,0,0
"MIR1266",0,0,0,0,0,0
"MIR1267",0,0,0,0,0,0
"MIR1268A",0,0,0,0,0,0
"MIR1268B",0,0,0,0,0,0
"MIR1269A",0,0,0,0,0,0
"MIR1269B",0,0,0,0,0,0
"MIR127",0,0,0,0,0,0
"MIR1270",0,0,0,0,0,0
"MIR1271",2,0,1,2,1,0
"MIR1272",0,0,1,0,0,0
"MIR1273C",0,0,0,1,0,0
"MIR1273H",0,0,0,0,0,0
"MIR1275",0,0,0,0,0,0
"MIR1276",0,1,0,0,0,2
"MIR1277",0,0,0,0,0,0
"MIR1278",1,0,0,0,0,0
"MIR1279",0,0,0,0,0,0
"MIR128-1",1,0,1,0,0,0
"MIR128-2",0,0,0,0,0,0
"MIR1281",15,14,11,11,8,11
"MIR1282",0,0,0,0,0,0
"MIR1283-1",0,0,0,0,0,0
"MIR1283-2",0,0,0,0,0,0
"MIR1284",0,0,0,0,0,0
"MIR1285-1",2,3,1,0,2,0
"MIR1285-2",0,0,0,0,0,0
"MIR1286",1,2,0,0,0,3
"MIR1287",1,0,0,0,0,0
"MIR1288",0,0,0,0,0,0
"MIR1289-1",1,0,5,0,4,0
"MIR1289-2",0,0,0,0,0,0
"MIR129-1",0,0,0,0,0,0
"MIR129-2",0,0,0,0,0,0
"MIR1290",0,0,0,0,0,0
"MIR1291",2,0,1,0,1,2
"MIR1292",13,9,10,7,4,4
"MIR1293",0,0,0,0,0,0
"MIR1294",0,0,0,0,0,0
"MIR1295A",0,0,0,0,0,0
"MIR1295B",0,0,0,0,0,0
"MIR1296",0,0,1,0,1,0
"MIR1297",0,0,0,0,0,0
"MIR1298",0,0,0,0,0,0
"MIR1299",0,0,0,0,0,1
"MIR1301",0,0,0,0,0,0
"MIR1302-1",0,0,0,0,0,0
"MIR1302-10",0,0,0,0,0,0
"MIR1302-11",0,0,0,0,0,0
"MIR1302-2",0,0,0,0,0,0
"MIR1302-3",1,2,1,0,0,0
"MIR1302-4",0,0,0,0,0,0
"MIR1302-5",0,0,1,3,1,0
"MIR1302-6",0,0,0,0,0,0
"MIR1302-7",0,0,0,0,0,0
"MIR1302-8",1,0,4,6,1,0
"MIR1302-9",0,0,0,0,0,0
"MIR1303",0,0,0,0,0,0
"MIR1304",120,74,133,123,121,89
"MIR1305",0,0,0,0,0,0
"MIR1306",0,0,0,0,0,0
"MIR1307",0,0,0,0,0,0
"MIR130A",0,0,0,0,0,0
"MIR130B",4,1,3,7,1,4
"MIR132",0,0,0,0,0,0
"MIR1321",0,0,0,0,0,0
"MIR1322",0,0,0,0,0,0
"MIR1323",0,0,0,0,0,0
"MIR1324",0,0,0,0,0,0
"MIR133A1",0,0,0,0,0,0
"MIR133A1HG",3,2,7,8,7,2
"MIR133A2",0,0,0,0,0,0
"MIR133B",0,0,0,0,0,0
"MIR134",0,0,0,0,0,0
"MIR1343",0,0,0,0,0,0
"MIR135A1",0,0,0,0,0,0
"MIR135A2",0,0,0,0,0,0
"MIR135B",0,0,0,0,1,0
"MIR136",0,0,0,0,0,0
"MIR137",0,0,0,0,0,0
"MIR137HG",8,6,20,11,10,9
"MIR138-1",0,0,0,0,0,0
"MIR138-2",0,0,0,0,0,0
"MIR139",0,0,0,0,0,0
"MIR140",0,0,1,0,0,0
"MIR141",0,0,0,0,0,0
"MIR142",0,0,0,0,0,0
"MIR143",0,0,0,0,0,0
"MIR144",0,0,0,0,0,0
"MIR145",0,0,0,0,0,0
"MIR1468",0,0,0,0,0,0
"MIR1469",8,7,13,12,9,7
"MIR146A",0,1,0,1,1,0
"MIR146B",0,0,0,0,0,0
"MIR1470",0,0,0,0,0,0
"MIR1471",0,0,0,0,0,0
"MIR147A",0,0,0,0,0,0
"MIR147B",0,0,0,0,0,0
"MIR148A",0,0,0,0,0,0
"MIR148B",1,0,0,0,0,0
"MIR149",0,0,2,1,2,0
"MIR150",0,0,0,0,0,1
"MIR151A",0,0,0,0,0,0
"MIR151B",0,0,0,0,0,0
"MIR152",0,0,0,0,0,0
"MIR153-1",0,0,0,0,0,0
"MIR153-2",0,0,0,0,0,0
"MIR1537",0,0,0,0,0,0
"MIR1538",3,1,1,2,0,2
"MIR1539",1,0,0,0,0,0
"MIR154",0,0,0,0,0,0
"MIR155",0,0,0,0,0,0
"MIR155HG",360,251,336,296,289,236
"MIR1587",0,0,0,0,0,0
"MIR15A",1,2,2,3,3,0
"MIR15B",0,1,0,0,0,0
"MIR16-1",0,0,0,0,0,0
"MIR16-2",0,0,0,0,0,0
"MIR17",0,0,0,0,0,0
"MIR17HG",929,616,1103,874,883,526
"MIR181A1",1,0,0,0,0,0
"MIR181A2",0,0,0,1,0,0
"MIR181B1",1,0,2,0,0,0
"MIR181B2",0,0,0,0,0,1
"MIR181C",0,0,0,0,0,0
"MIR181D",1,0,1,1,0,0
"MIR182",0,0,0,0,0,0
"MIR1825",0,0,0,0,0,0
"MIR1827",0,0,0,0,1,0
"MIR183",0,0,0,0,0,0
"MIR184",0,0,0,0,0,0
"MIR185",0,0,0,0,0,0
"MIR186",48,37,54,51,46,29
"MIR187",0,0,0,0,0,0
"MIR188",0,0,0,0,0,0
"MIR18A",0,0,0,0,0,0
"MIR18B",0,0,0,0,0,0
"MIR1908",0,0,0,0,0,0
"MIR1909",0,0,0,0,0,0
"MIR190A",0,0,0,0,0,0
"MIR190B",0,0,0,0,0,0
"MIR191",0,0,1,1,1,1
"MIR1910",2,0,1,1,0,0
"MIR1911",0,0,0,0,0,0
"MIR1912",0,0,0,0,0,0
"MIR1913",0,0,0,0,0,0
"MIR1914",44,33,49,28,53,35
"MIR1915",1,0,2,1,1,0
"MIR1915HG",957,642,717,631,620,582
"MIR192",0,0,0,0,0,0
"MIR193A",5,1,6,5,2,6
"MIR193B",1,0,0,0,2,0
"MIR194-1",0,0,1,0,2,1
"MIR194-2",0,0,0,0,0,0
"MIR195",1,0,1,1,1,0
"MIR196A1",12,5,7,14,7,5
"MIR196A2",1,0,0,0,0,0
"MIR196B",0,0,0,0,0,0
"MIR197",1,1,0,2,1,0
"MIR1972-1",0,0,0,0,0,0
"MIR1972-2",1,0,0,1,0,0
"MIR1973",0,0,0,0,0,0
"MIR1976",0,0,0,0,0,0
"MIR198",0,0,0,0,0,0
"MIR199A1",1,0,0,0,1,0
"MIR199A2",0,0,0,0,0,0
"MIR199B",1,0,2,0,0,0
"MIR19A",0,0,0,0,0,0
"MIR19B1",0,0,0,0,0,0
"MIR19B2",0,0,0,0,0,0
"MIR200A",0,0,0,2,0,0
"MIR200B",1,0,0,0,1,0
"MIR200C",0,0,0,0,0,0
"MIR202",0,0,0,0,0,0
"MIR202HG",0,0,0,0,0,1
"MIR203A",0,0,0,0,0,0
"MIR203B",0,0,0,0,0,0
"MIR204",0,0,0,0,0,0
"MIR205",0,0,0,0,0,0
"MIR2052",0,0,0,0,0,0
"MIR2052HG",4,1,8,6,3,1
"MIR2053",0,0,0,0,0,0
"MIR2054",0,0,0,0,0,0
"MIR205HG",0,0,0,0,0,0
"MIR206",0,0,1,1,0,0
"MIR208A",0,0,0,0,0,0
"MIR208B",0,0,0,0,0,0
"MIR20A",0,0,0,0,0,0
"MIR20B",0,0,0,0,0,0
"MIR21",4,1,4,5,1,0
"MIR210",0,0,0,0,0,0
"MIR210HG",1,0,0,1,0,0
"MIR211",0,0,0,0,0,0
"MIR2110",0,0,0,0,0,0
"MIR2113",0,0,0,0,0,0
"MIR2114",0,0,0,0,0,0
"MIR2115",0,0,0,0,0,0
"MIR2116",4,8,9,3,1,5
"MIR2117",0,0,1,0,0,0
"MIR212",0,0,0,0,0,1
"MIR214",0,0,0,0,0,0
"MIR215",2,2,0,0,4,1
"MIR216A",0,0,0,0,0,0
"MIR216B",0,0,0,0,0,0
"MIR217",0,0,0,0,0,0
"MIR218-1",0,0,0,0,1,0
"MIR218-2",0,2,2,0,0,0
"MIR219A1",0,0,0,0,0,0
"MIR219A2",0,0,0,0,0,0
"MIR219B",0,0,0,0,0,0
"MIR22",0,0,0,0,0,0
"MIR221",8,9,11,10,11,10
"MIR222",3,3,1,0,0,2
"MIR223",0,0,0,0,0,0
"MIR224",0,0,0,0,0,0
"MIR2276",0,0,0,0,0,0
"MIR2277",0,0,0,0,0,0
"MIR2278",0,0,1,0,0,0
"MIR22HG",0,0,0,0,0,0
"MIR2355",0,0,0,0,3,0
"MIR2392",0,0,0,0,0,0
"MIR23A",6,0,12,5,4,6
"MIR23B",0,2,1,1,1,0
"MIR23C",0,0,0,0,0,0
"MIR24-1",0,0,0,0,0,0
"MIR24-2",2,1,1,0,1,0
"MIR2467",1,0,0,0,0,0
"MIR25",96,66,136,102,94,83
"MIR2681",0,0,0,0,0,0
"MIR2682",2,2,1,2,1,2
"MIR26A1",0,0,0,0,0,0
"MIR26A2",2,1,4,2,3,4
"MIR26B",2,1,0,1,0,0
"MIR27A",3,0,1,1,0,0
"MIR27B",1,1,5,4,1,0
"MIR28",0,0,0,0,0,0
"MIR2861",0,3,2,1,0,2
"MIR2909",0,0,0,0,0,0
"MIR296",1,1,0,1,4,0
"MIR297",0,0,0,0,0,0
"MIR298",0,0,0,1,0,0
"MIR299",0,0,0,0,0,0
"MIR29A",6,0,1,3,3,0
"MIR29B1",0,0,1,0,1,0
"MIR29B2",1,2,3,1,0,4
"MIR29C",8,12,12,17,4,4
"MIR300",0,0,0,0,0,0
"MIR301A",0,0,0,0,0,0
"MIR301B",0,0,0,0,0,0
"MIR302A",1,1,1,2,0,2
"MIR302B",4,0,3,0,1,0
"MIR302C",1,1,6,3,6,2
"MIR302D",1,5,5,1,4,0
"MIR302E",0,0,0,0,0,0
"MIR302F",0,0,0,0,0,0
"MIR3064",681,481,917,731,703,462
"MIR3065",0,0,0,0,0,0
"MIR3074",2,1,2,2,2,0
"MIR30A",0,0,0,0,0,0
"MIR30B",0,0,0,0,0,0
"MIR30C1",0,0,0,0,0,0
"MIR30C2",6,1,10,13,9,8
"MIR30D",0,0,0,0,0,0
"MIR30E",0,0,0,0,0,0
"MIR31",0,0,0,0,0,0
"MIR3115",0,0,0,0,0,1
"MIR3116-1",0,0,0,0,0,0
"MIR3116-2",0,0,0,0,0,0
"MIR3117",0,0,0,0,0,0
"MIR3118-1",0,0,0,0,0,0
"MIR3118-2",0,0,0,0,0,0
"MIR3118-3",0,0,0,0,0,0
"MIR3118-4",0,0,0,0,0,0
"MIR3119-1",0,0,0,0,0,0
"MIR3119-2",0,0,0,0,0,0
"MIR3120",0,0,0,0,0,0
"MIR3121",0,0,0,0,0,0
"MIR3122",0,0,0,3,1,0
"MIR3123",0,0,0,0,0,0
"MIR3124",12,15,11,13,15,6
"MIR3125",0,0,0,4,1,2
"MIR3126",3,0,0,0,1,0
"MIR3127",2,0,0,0,0,0
"MIR3128",0,0,0,0,0,0
"MIR3129",0,0,0,0,0,0
"MIR3130-1",0,0,0,0,0,0
"MIR3130-2",0,0,0,0,0,0
"MIR3131",1,0,0,0,0,0
"MIR3132",1,2,2,0,1,0
"MIR3133",0,0,1,0,0,0
"MIR3134",0,0,0,1,1,0
"MIR3135A",0,0,0,0,3,0
"MIR3135B",0,0,0,0,0,0
"MIR3136",9,1,5,6,2,8
"MIR3137",2,0,0,0,0,0
"MIR3138",2,0,0,1,2,1
"MIR3139",1,0,0,0,0,0
"MIR3140",0,0,0,1,0,0
"MIR3141",0,0,0,0,0,0
"MIR3142",0,0,0,0,0,0
"MIR3143",7,1,7,4,1,2
"MIR3144",0,0,0,0,0,0
"MIR3145",0,0,0,0,0,0
"MIR3146",3,1,1,0,0,1
"MIR3147",0,0,0,0,0,0
"MIR3148",0,0,0,0,0,0
"MIR3149",2,3,0,1,0,2
"MIR3150A",0,0,0,0,0,0
"MIR3150B",0,0,0,0,0,0
"MIR3151",1,0,1,0,0,1
"MIR3152",0,0,0,0,0,0
"MIR3153",33,26,46,39,27,24
"MIR3154",0,0,1,0,0,0
"MIR3155A",0,0,0,0,0,0
"MIR3155B",0,0,0,0,0,0
"MIR3156-1",0,0,0,0,0,0
"MIR3156-2",0,0,0,0,0,0
"MIR3156-3",0,0,0,0,0,0
"MIR3157",0,0,0,0,0,2
"MIR3158-1",0,0,0,0,0,0
"MIR3158-2",0,0,0,0,0,0
"MIR3159",1,0,0,0,0,0
"MIR3160-1",0,0,0,0,0,0
"MIR3160-2",0,0,0,0,0,0
"MIR3161",0,0,0,0,0,0
"MIR3162",2,1,2,0,0,0
"MIR3163",0,0,0,0,0,1
"MIR3164",0,0,0,0,0,0
"MIR3165",1,0,0,1,0,0
"MIR3166",0,0,0,0,0,0
"MIR3167",0,0,0,1,0,0
"MIR3168",0,0,0,0,0,1
"MIR3169",0,0,0,0,0,0
"MIR3170",0,0,0,0,0,0
"MIR3171",0,0,0,0,0,0
"MIR3173",2,0,1,0,3,0
"MIR3174",3,0,2,2,2,0
"MIR3175",0,0,0,0,0,0
"MIR3176",43,34,54,30,41,28
"MIR3177",0,1,1,0,1,0
"MIR3178",3,0,6,3,4,1
"MIR3179-1",0,0,0,0,0,0
"MIR3179-2",0,0,0,0,0,0
"MIR3179-3",0,0,0,0,0,0
"MIR3179-4",0,0,0,0,0,0
"MIR3180-1",0,0,0,0,0,0
"MIR3180-2",0,0,0,0,0,0
"MIR3180-3",0,0,0,0,0,0
"MIR3180-4",0,0,0,0,0,0
"MIR3180-5",0,0,0,0,0,0
"MIR3181",1,0,0,0,0,0
"MIR3182",0,0,0,0,0,0
"MIR3183",0,0,0,0,0,0
"MIR3184",0,0,0,0,0,0
"MIR3185",0,0,0,0,0,0
"MIR3186",3,3,2,2,1,1
"MIR3187",0,0,0,0,0,0
"MIR3188",0,0,0,0,1,0
"MIR3189",5,4,7,3,4,2
"MIR3190",1,2,1,1,5,3
"MIR3191",0,0,0,0,0,0
"MIR3192",2,0,6,3,5,2
"MIR3193",1,1,0,0,0,0
"MIR3194",0,0,0,0,0,0
"MIR3195",0,0,0,0,0,0
"MIR3196",0,0,0,0,0,0
"MIR3197",0,0,0,0,0,0
"MIR3198-1",3,1,0,1,1,2
"MIR3198-2",0,0,0,0,0,0
"MIR3199-1",0,0,0,0,0,0
"MIR3199-2",0,0,0,0,0,0
"MIR31HG",357,271,261,244,249,251
"MIR32",1,0,0,0,0,0
"MIR3200",0,0,0,0,0,0
"MIR3201",0,0,0,0,0,0
"MIR3202-1",0,0,0,0,0,0
"MIR3202-2",0,0,0,0,0,0
"MIR323A",0,0,0,0,0,0
"MIR323B",0,0,0,0,0,0
"MIR324",86,56,109,74,88,73
"MIR325",0,0,0,0,0,0
"MIR326",0,0,0,0,0,0
"MIR328",1,0,0,0,0,0
"MIR329-1",0,0,0,0,0,0
"MIR329-2",0,0,0,0,0,0
"MIR330",0,0,0,0,1,0
"MIR331",0,0,1,0,0,1
"MIR335",0,0,0,0,0,0
"MIR337",0,0,0,0,0,0
"MIR338",0,0,0,0,0,0
"MIR339",0,0,1,0,0,3
"MIR33A",0,0,0,0,0,0
