"gene","Control","Aldo","Fine","Spiro","Aldo_Fine","Aldo_Spiro"
"ACTBL2",938,820,722,696,740,680
"ACTC1",77,58,38,55,58,57
"ACTE1P",1,0,1,3,0,0
"ACTG1",786559,588234,608174,572864,586296,590834
"ACTG1P17",10,19,19,9,12,10
"ACTG1P25",72,50,72,53,46,43
"ACTG2",186,150,146,151,148,157
"ACTL10",347,241,271,247,270,216
"ACTL6A",30252,23657,23805,22736,21840,22960
"ACTL6B",1,0,0,2,1,2
"ACTL7A",0,0,0,0,1,0
"ACTL7B",0,0,0,1,0,0
"ACTL8",7,8,4,4,6,9
"ACTL9",0,0,0,0,0,0
"ACTN1",168190,131452,146564,137882,136488,130913
"ACTN1-DT",14,15,14,8,16,9
"ACTN2",280,183,314,284,248,224
"ACTN3",9,6,19,8,12,5
"ACTN4",99382,77581,87716,82266,87199,80593
"ACTR10",23191,18057,17985,17350,16709,17571
"ACTR1A",20900,16706,17337,16023,16268,16249
"ACTR1B",11986,9082,9768,9094,9556,9313
"ACTR2",139715,116703,113892,108507,103680,111802
"ACTR3",99434,78216,76507,72832,69854,75371
"ACTR3B",284,235,288,203,228,218
"ACTR3BP6",0,0,0,0,0,0
"ACTR3C",694,479,591,496,468,534
"ACTR5",3977,3006,3362,2985,3125,3009
"ACTR6",8111,6351,6347,5764,5530,6106
"ACTR8",7905,6273,6618,6089,6205,6334
"ACTRT1",0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0
"ACTRT3",2,0,3,3,1,3
"ACVR1",7845,6294,6560,6107,6089,6120
"ACVR1B",7196,6813,6117,5854,5929,6134
"ACVR1C",459,365,413,391,351,327
"ACVR2A",3920,3093,3340,3059,2959,3014
"ACVR2B",2888,2458,2543,2403,2462,2424
"ACVR2B-AS1",96,66,90,61,69,59
"ACVRL1",242,197,203,164,180,199
"ACY1",40,47,35,45,24,34
"ACY3",32,24,24,35,32,30
"ACYP1",2664,1964,2007,1895,1890,1842
"ACYP2",1156,857,901,830,868,844
"ADA",2867,2005,2414,2151,2200,2073
"ADA2",213,230,250,198,222,211
"ADAD1",0,0,0,0,0,0
"ADAD2",1,0,4,1,0,2
"ADAL",4589,3559,3953,3742,3719,3642
"ADAM10",40964,33605,34422,32921,31994,33626
"ADAM11",412,333,409,343,406,307
"ADAM12",1110,869,937,960,846,878
"ADAM15",28612,22843,23684,21985,22852,21766
"ADAM17",17717,15235,15095,14370,14229,15030
"ADAM18",0,0,0,0,0,0
"ADAM19",4408,3301,3735,3662,3486,3686
"ADAM2",0,0,0,0,0,0
"ADAM20",16,9,14,15,11,7
"ADAM20P1",12,5,13,6,8,7
"ADAM21",61,50,60,61,45,56
"ADAM21P1",5,2,3,3,1,2
"ADAM22",2100,1658,1901,1752,1794,1642
"ADAM23",74,49,63,75,45,46
"ADAM28",2,3,1,4,3,3
"ADAM29",0,0,0,0,2,0
"ADAM30",0,0,0,0,0,0
"ADAM32",5,2,6,6,3,6
"ADAM33",74,48,78,74,57,51
"ADAM3A",0,0,0,0,0,0
"ADAM5",0,0,0,0,0,0
"ADAM6",0,0,0,0,0,0
"ADAM7",0,0,0,0,0,0
"ADAM7-AS2",0,0,0,0,0,0
"ADAM8",411,290,456,338,426,279
"ADAM9",49310,44675,41599,39895,39518,40999
"ADAMDEC1",1,0,0,0,0,0
"ADAMTS1",9251,4824,7619,6743,5753,6083
"ADAMTS10",268,196,279,247,280,194
"ADAMTS12",3003,2369,2822,2517,2522,2645
"ADAMTS13",495,358,493,405,477,356
"ADAMTS14",1003,1042,1016,899,1067,777
"ADAMTS15",3294,2837,2938,2772,2977,2674
"ADAMTS16",1244,882,999,990,941,977
"ADAMTS16-DT",7,1,0,1,1,0
"ADAMTS17",74,63,69,63,66,64
"ADAMTS18",7,3,6,5,8,12
"ADAMTS19",0,1,1,0,1,1
"ADAMTS19-AS1",0,0,0,0,0,0
"ADAMTS2",2486,2242,2176,1935,2051,1824
"ADAMTS20",29,17,29,26,27,23
"ADAMTS3",9016,5926,7669,7377,7220,7214
"ADAMTS4",49,26,32,29,38,30
"ADAMTS5",3734,2071,3298,3057,2645,2779
"ADAMTS6",1725,1323,1545,1396,1337,1346
"ADAMTS7",2696,2505,2701,2436,2614,2137
"ADAMTS8",20,21,14,10,22,12
"ADAMTS9",109,98,107,92,111,83
"ADAMTS9-AS1",2,0,1,0,0,0
"ADAMTSL1",2460,1543,2032,1841,1819,1779
"ADAMTSL2",28,18,14,18,33,13
"ADAMTSL3",9052,7456,8414,7798,7707,7463
"ADAMTSL4",1169,964,1221,1086,1147,954
"ADAMTSL5",2449,1861,2168,2025,1992,1647
"ADAP1",707,452,530,491,516,485
"ADAP2",370,298,350,319,328,279
"ADAR",151851,137473,143089,134929,134981,136216
"ADARB1",2197,1687,2050,1732,1982,1709
"ADARB2",1,0,0,0,0,0
"ADARB2-AS1",0,0,0,0,0,0
"ADAT1",6193,5119,5631,5107,5256,5220
"ADAT2",1444,1095,1469,1299,1294,1030
"ADAT3",577,404,433,411,375,331
"ADCK1",1042,788,913,888,828,814
"ADCK2",4559,3670,3557,3425,3628,3487
"ADCK5",2313,1652,2038,1814,2075,1563
"ADCY1",405,374,365,354,379,310
"ADCY10",19,19,25,17,22,21
"ADCY10P1",703,533,853,626,619,465
"ADCY2",2,2,1,0,0,1
"ADCY3",10628,9573,9399,8848,9285,8675
"ADCY4",8,2,6,5,7,5
"ADCY5",69,63,61,70,63,58
"ADCY6",11365,9349,10698,9622,9972,9036
"ADCY6-DT",35,29,23,21,19,27
"ADCY7",5773,4765,5232,4803,4945,4575
"ADCY8",11,6,8,5,11,12
"ADCY9",8773,7645,7750,7292,7692,7505
"ADCYAP1",0,0,0,1,0,0
"ADCYAP1R1",6,6,1,2,3,6
"ADD1",29835,25254,26008,24137,24596,24610
"ADD2",35,24,28,24,15,27
"ADD3",17355,14262,14680,13888,13714,13910
"ADD3-AS1",30,23,21,16,31,24
"ADGB",2,2,2,1,2,1
"ADGB-DT",0,0,0,0,0,0
"ADGRA1",0,0,0,0,0,0
"ADGRA2",2167,1799,1789,1733,1810,1663
"ADGRA3",6683,5153,5621,5152,5167,5281
"ADGRB1",9,2,4,5,2,2
"ADGRB2",4661,3614,4176,3634,4081,3710
"ADGRB3",201,133,170,165,166,158
"ADGRD1",4,0,2,1,2,2
"ADGRD2",0,0,0,0,0,0
"ADGRE1",0,5,1,2,1,3
"ADGRE2",49,34,46,44,41,38
"ADGRE3",0,0,0,0,0,0
"ADGRE5",2804,2279,2441,2407,2460,2216
"ADGRF1",452,244,334,274,291,263
"ADGRF2",8,5,12,6,5,8
"ADGRF3",74,73,83,56,78,54
"ADGRF4",785,673,741,658,611,657
"ADGRF5",421,528,357,346,344,347
"ADGRG1",15494,11270,12661,12350,12822,11947
"ADGRG2",240,305,209,182,254,198
"ADGRG3",7,7,12,6,12,15
"ADGRG4",5,8,3,5,5,8
"ADGRG5",9,7,11,11,16,9
"ADGRG6",27162,24993,24139,22989,22841,23438
"ADGRG7",1,1,1,1,2,2
"ADGRL1",3229,2436,2817,2601,2836,2564
"ADGRL1-AS1",330,249,324,288,318,244
"ADGRL2",17369,13903,15779,14575,14172,14417
"ADGRL3",1601,1352,1433,1289,1365,1420
"ADGRL4",1460,1124,1184,1111,940,1118
"ADGRV1",30,26,33,40,30,34
"ADH1A",0,0,1,2,0,0
"ADH1B",1,0,0,1,0,0
"ADH1C",3,4,4,2,4,0
"ADH4",2,2,1,2,0,2
"ADH5",27439,22133,20876,19950,20109,20956
"ADH6",6,7,7,11,9,6
