"Entrez_ID","HGNC Symbol","MCF7_EV","MCF7_EVA","MCF7_EVAS","MCF7_OV","MCF7_OVA_1","MCF7_OVA_2","MCF7_OVAS_1","MCF7_OVAS_2","ZR751_EV","ZR751_EVA","ZR751_OV","ZR751_OVA"
221692,"PHACTR1",45,26,25,36,21,22,32,23,30,37,34,39
100130357,"",62,65,25,58,18,53,29,44,66,66,65,68
51256,"TBC1D7",2114,1779,1816,2484,1530,2008,1863,1691,688,956,711,650
54438,"GFOD1",1273,1771,1082,1427,1068,1428,1118,1260,235,337,251,297
23408,"SIRT5",2050,2006,2112,2470,1566,2116,1976,1832,713,992,769,753
51406,"NOL7",3125,3029,3008,4485,2480,3977,2351,1884,1275,1809,1744,1410
10048,"RANBP9",8743,8343,8616,9633,4621,7052,8488,7540,3378,4175,3138,3290
63933,"MCUR1",2526,2416,2622,2882,1471,2478,2271,2266,1384,1796,1317,1259
221687,"RNF182",59,74,54,64,35,49,66,64,0,8,0,2
9308,"CD83",333,228,217,334,156,200,213,200,95,148,90,109
102216342,"LINC01108",0,0,0,0,0,1,0,0,0,1,0,0
3720,"JARID2",3183,2469,2239,3325,1356,1843,2133,2469,2153,2640,2325,1865
100506681,NA,10,18,24,13,12,15,15,24,7,6,2,4
84062,"DTNBP1",2354,1944,1760,2760,1657,1863,1750,1781,662,917,733,662
101928406,NA,0,0,0,0,0,0,0,0,0,0,0,0
29116,"MYLIP",6956,6084,5536,7288,3172,4415,5619,5698,1669,2269,1611,1579
100616269,"MIR4639",1,6,3,3,0,5,1,2,4,3,2,3
2766,"GMPR",2423,2420,1338,2516,1863,2254,1458,1810,57,76,50,43
6310,"ATXN1",1071,911,1003,1064,507,719,929,1134,926,1262,863,865
101928433,NA,275,195,243,305,106,145,190,197,60,77,45,57
401236,"STMND1",4,3,2,5,0,1,5,1,74,119,80,62
221662,"RBM24",965,1502,1094,1194,675,1309,946,939,84,113,88,94
10486,"CAP2",2899,3577,2792,3114,1586,2775,2613,2726,1069,1459,947,1112
101928491,NA,56,52,30,51,10,35,39,29,14,14,16,14
51439,"FAM8A1",1321,1509,1874,1522,797,1514,1316,1213,983,1116,923,917
9972,"NUP153",9159,9135,6746,10450,3679,6586,7174,7145,3962,4808,3710,3578
63971,"KIF13A",10022,8862,6618,9916,3857,5878,7320,8580,1296,1663,1192,1168
378884,"NHLRC1",447,477,555,457,300,425,416,405,0,0,1,0
7172,"TPMT",1157,1134,1448,1539,727,1250,1142,1085,834,1236,831,819
221656,"KDM1B",2874,2668,2040,3002,1208,1803,2084,2435,657,774,531,635
7913,"DEK",9112,8562,9191,11118,4660,8246,7447,6346,3746,4815,3742,3518
255488,"RNF144B",1381,1093,1245,1417,595,944,1164,1048,521,777,455,541
